en_lemma	base_word	total_freq	band	final_eo_root	final_eo_word	eo_gloss	gloss_source	anchor_source	tier_basis	proposed_tier	review_flag	note
spoil#pamper	spoil	47	P2_hot	dorlot	dorloti	to coddle, pamper, pet, fondle	espdic	curated	freq	1		sense: spoil/pamper a child or pet
spoil#rot	spoil	47	P2_hot	putr	putri	to decay, decompose, putrefy, rot, fester	espdic	curated	freq	1		sense: food spoils / goes bad
trunk#chest	trunk	42	P2_hot	kofr	kofro	chest, coffer, suitcase, trunk	espdic	curated	freq	1		sense: storage trunk/chest for toys
trunk#elephant	trunk	42	P2_hot	rostr	rostro	proboscis, snout, trunk, sucker	espdic	curated	freq	1		sense: elephant's trunk
trunk#tree	trunk	42	P2_hot	trunk	trunko	frustum, stem, trunk, torso	espdic	curated	freq	1		sense: tree trunk
beam#bar	beam	39	P2_hot	trab	trabo	beam, girder, joist, bar, tray	espdic	curated	freq	1		sense: balance beam in playground
beam#smile	beam	39	P2_hot	radi	radii	to radiate, irradiate	espdic	curated	freq	1		sense: beamed with pride/joy
flap#opening	flap	35	P2_hot	klap	klapo	flap, valve, half shell	espdic	curated	freq	1		sense: opened the flap (noun, tent/opening)
flap#wings	flap	35	P2_hot	flirt	flirti	to flirt, flit, flutter	espdic	curated	freq	1		sense: flapped its wings (verb)
tuck#bed	tuck	32	P4_nomatch	lit	enlitigi	to put to bed	espdic	curated	freq	1		sense: tucked into bed
tuck#hide	tuck	32	P4_nomatch	kaŝ	kaŝi	to conceal, hide, veil	espdic	curated	freq	1		sense: tucked away / hidden
scoop#lift	scoop	27	P2_hot	ĉerp	ĉerpi	to bail, draw (water), excerpt, extract, spoon	espdic	curated	freq	1		sense: scooped up / ladled (verb)
scoop#portion	scoop	27	P2_hot	bul	buleto	pellet, small ball	espdic	curated	freq	1		sense: a scoop of ice cream/sand (noun)
palm#hand	palm	24	P2_hot	manplat	manplato	palm (of hand)	espdic	curated	freq	1		sense: palm of the hand
palm#tree	palm	24	P2_hot	palm	palmo	palm, palm tree	espdic	curated	freq	1		sense: palm tree
perch#roost	perch	22	P2_hot	sidstang	sidstango	bass, perch (fish)	kept_original	curated	freq	1		sense: a perch/roost to sit on (noun)
perch#sit	perch	22	P2_hot	sid	sidi	to sit, be seated	espdic	curated	freq	1		sense: bird perched on a branch (verb)
dodge	dodge	4	P6_tail	evit	eviti	to avoid, evade, eschew, keep aloof, shirk, shun	espdic	curated	inventory	2		
gator	gator	4	P6_tail	aligator	aligatoro	alligator	espdic	curated	inventory	2	rare-anchor	
gladly	gladly	4	P6_tail	ĝoj	ĝoje	joyfully, happily	espdic	curated	inventory	2		
hideout	hideout	4	P6_tail	ej	kaŝejo	hiding place	espdic	curated	inventory	2		
hungrily	hungrily	4	P6_tail	malsat	malsate		kept_original	curated	inventory	2		
mesmerize	mesmerize	4	P6_tail	hipnot	hipnoti		kept_original	curated	inventory	2		
pepperoni	pepperoni	4	P6_tail	peperon	peperono		kept_original	curated	inventory	2		
pro	pro	4	P6_tail	profesi	profesiulo	professional	espdic	curated	inventory	2		
seatbelt	seatbelt	4	P6_tail	zon	sekurzono	safety belt, seat belt	espdic	curated	inventory	2		
snooze	snooze	4	P6_tail	dorm	dormeti	to doze, nap, slumber	espdic	curated	inventory	2		
squishy	squishy	4	P6_tail	mol	premmola		kept_original	curated	inventory	2		
sunscreen	sunscreen	4	P6_tail	krem	sunkremo	sunscreen	kept_original	curated	inventory	2		
veggie	veggie	4	P6_tail	legom	legomo	vegetable	espdic	curated	inventory	2		
bluebird	bluebird	3	P6_tail	bird	blubirdo		kept_original	curated	inventory	2		
dining	dining	3	P6_tail	manĝ	manĝado	repast	espdic	curated	inventory	2		
dollhouse	dollhouse	3	P6_tail	dom	pupdomo	doll house	espdic	curated	inventory	2		
energize	energize	3	P6_tail	energi	energiigi		kept_original	curated	inventory	2		
glittery	glittery	3	P6_tail	bril	brileta		kept_original	curated	inventory	2		
goody	goody	3	P6_tail	frand	frandaĵo	delicacy, tidbit, sweet, rarity, tidbit	espdic	curated	inventory	2		
heartbroken	heartbroken	3	P6_tail	ŝir	korŝirita		kept_original	curated	inventory	2		
honeybee	honeybee	3	P6_tail	abel	mielabelo		kept_original	curated	inventory	2		
lunchtime	lunchtime	3	P6_tail	temp	lunĉtempo		kept_original	curated	inventory	2		
mat	mat	3	P6_tail	mat	mato	checkmate, mate	espdic	curated	inventory	2	rare-anchor	
moonwalk	moonwalk	3	P6_tail	marŝ	lunmarŝo		kept_original	curated	inventory	2		
padlock	padlock	3	P6_tail	kadenac	kadenaco	padlock	kept_original	curated	inventory	2	rare-anchor	
playhouse	playhouse	3	P6_tail	dom	luddomo		kept_original	curated	inventory	2		
pointy	pointy	3	P6_tail	pint	pinta	pointed, spiked, leading	espdic	curated	inventory	2		
shyly	shyly	3	P6_tail	hont	hontete		kept_original	curated	inventory	2		
sideways	sideways	3	P6_tail	flank	flanken	aside, to the side	espdic	curated	inventory	2		
smoothie	smoothie	3	P6_tail	trink	fruktotrinkaĵo		kept_original	curated	inventory	2		
snarl	snarl	3	P6_tail	graŭl	graŭli	to growl	espdic	curated	inventory	2	rare-anchor	
stairway	stairway	3	P6_tail	ŝtup	ŝtuparo	staircase, stairs	espdic	curated	inventory	2		
storybook	storybook	3	P6_tail	libr	rakontlibro		kept_original	curated	inventory	2		
sweetly	sweetly	3	P6_tail	dolĉ	dolĉe	gently	espdic	curated	inventory	2		
tantrum	tantrum	3	P6_tail	kriz	kolerkrizo		kept_original	curated	inventory	2	rare-anchor	
tickly	tickly	3	P6_tail	tikl	tiklema		kept_original	curated	inventory	2		
windowsill	windowsill	3	P6_tail	bret	fenestrobreto	window sill	espdic	curated	inventory	2		
yummy	yummy	3	P6_tail	gust	bongusta	luscious, nice, tasty, savory, succulent	espdic	curated	inventory	2		
atop	atop	2	P6_tail	supr	supre	above, on top, overhead, upstairs, aloft, up, upstairs	espdic	curated	inventory	2		
awhile	awhile	2	P6_tail	temp	momenton	a moment, a few minutes	espdic	curated	inventory	2		
beady	beady	2	P6_tail	bid	bidsimila		kept_original	curated	inventory	2		
birdseed	birdseed	2	P6_tail	gren	birdogreno		kept_original	curated	inventory	2		
blob	blob	2	P6_tail	glob	globaĵo		kept_original	curated	inventory	2		
bubblegum	bubblegum	2	P6_tail	gum	maĉgumo	chewing gum	espdic	curated	inventory	2	rare-anchor	
campsite	campsite	2	P6_tail	ej	kampadejo	camping ground, camping site	espdic	curated	inventory	2		
carefree	carefree	2	P6_tail	zorg	senzorga	careless, neglectful, reckless, remiss	espdic	curated	inventory	2		
carton	carton	2	P6_tail	karton	kartono	cardboard, pasteboard	espdic	curated	inventory	2		
cranny	cranny	2	P6_tail	fend	fendeto	fissure	espdic	curated	inventory	2		
doorbell	doorbell	2	P6_tail	sonoril	pordsonorilo		kept_original	curated	inventory	2		
doorstep	doorstep	2	P6_tail	sojl	sojlo	sill, threshold	espdic	curated	inventory	2	rare-anchor	
flurry	flurry	2	P6_tail	turb	neĝoturbo		kept_original	curated	inventory	2		
footstep	footstep	2	P6_tail	paŝ	piedpaŝo		kept_original	curated	inventory	2		
grandkid	grandkid	2	P6_tail	nep	genepo	grandchild	espdic	curated	inventory	2		
grouchy	grouchy	2	P6_tail	grumbl	grumblema	morose	espdic	curated	inventory	2		
hideaway	hideaway	2	P6_tail	ej	kaŝejo	hiding place	espdic	curated	inventory	2		
hike	hike	2	P6_tail	migr	migri	to migrate, roam, wander, wander about, travel about	espdic	curated	inventory	2		
jellybean	jellybean	2	P6_tail	bombon	ĝelebombono		kept_original	curated	inventory	2		
junkyard	junkyard	2	P6_tail	ej	rubejo	garbage dump	espdic	curated	inventory	2		
knights	knights	2	P6_tail	kavalir	kavaliro	cavalier, knight, chevalier	espdic	curated	inventory	2		
lush	lush	2	P6_tail	abund	abunda	abundant, affluent, ample, copious, plentiful, profuse, rich, bountiful	espdic	curated	inventory	2		
midst	midst	2	P6_tail	mez	mezo	average, mean, middle	espdic	curated	inventory	2		
