en_lemma	final_eo_root	final_eo_word	old_gloss	anchor_source	reason
perch#roost	sidstang	sidstango	bass, perch (fish)	curated	final_eo_word not found in ESPDIC — verify anchor
hungrily	malsat	malsate		curated	final_eo_word not found in ESPDIC — verify anchor
mesmerize	hipnot	hipnoti		curated	final_eo_word not found in ESPDIC — verify anchor
pepperoni	peperon	peperono		curated	final_eo_word not found in ESPDIC — verify anchor
squishy	mol	premmola		curated	final_eo_word not found in ESPDIC — verify anchor
sunscreen	krem	sunkremo	sunscreen	curated	final_eo_word not found in ESPDIC — verify anchor
bluebird	bird	blubirdo		curated	final_eo_word not found in ESPDIC — verify anchor
energize	energi	energiigi		curated	final_eo_word not found in ESPDIC — verify anchor
glittery	bril	brileta		curated	final_eo_word not found in ESPDIC — verify anchor
heartbroken	ŝir	korŝirita		curated	final_eo_word not found in ESPDIC — verify anchor
honeybee	abel	mielabelo		curated	final_eo_word not found in ESPDIC — verify anchor
lunchtime	temp	lunĉtempo		curated	final_eo_word not found in ESPDIC — verify anchor
moonwalk	marŝ	lunmarŝo		curated	final_eo_word not found in ESPDIC — verify anchor
padlock	kadenac	kadenaco	padlock	curated	final_eo_word not found in ESPDIC — verify anchor
playhouse	dom	luddomo		curated	final_eo_word not found in ESPDIC — verify anchor
shyly	hont	hontete		curated	final_eo_word not found in ESPDIC — verify anchor
smoothie	trink	fruktotrinkaĵo		curated	final_eo_word not found in ESPDIC — verify anchor
storybook	libr	rakontlibro		curated	final_eo_word not found in ESPDIC — verify anchor
tantrum	kriz	kolerkrizo		curated	final_eo_word not found in ESPDIC — verify anchor
tickly	tikl	tiklema		curated	final_eo_word not found in ESPDIC — verify anchor
beady	bid	bidsimila		curated	final_eo_word not found in ESPDIC — verify anchor
birdseed	gren	birdogreno		curated	final_eo_word not found in ESPDIC — verify anchor
blob	glob	globaĵo		curated	final_eo_word not found in ESPDIC — verify anchor
doorbell	sonoril	pordsonorilo		curated	final_eo_word not found in ESPDIC — verify anchor
flurry	turb	neĝoturbo		curated	final_eo_word not found in ESPDIC — verify anchor
footstep	paŝ	piedpaŝo		curated	final_eo_word not found in ESPDIC — verify anchor
jellybean	bombon	ĝelebombono		curated	final_eo_word not found in ESPDIC — verify anchor
nightlight	lamp	noktolampo		curated	final_eo_word not found in ESPDIC — verify anchor
nightstand	tabl	noktotableto		curated	final_eo_word not found in ESPDIC — verify anchor
oily	ole	olea		curated	final_eo_word not found in ESPDIC — verify anchor
piggybank	pork	ŝparporketo		curated	final_eo_word not found in ESPDIC — verify anchor
popsicle	baston	glacibastoneto		curated	final_eo_word not found in ESPDIC — verify anchor
restful	ripoz	ripoziga		curated	final_eo_word not found in ESPDIC — verify anchor
spook	tim	ektimigi		curated	final_eo_word not found in ESPDIC — verify anchor
sugary	suker	sukera	bland, sugary	curated	final_eo_word not found in ESPDIC — verify anchor
swat	frap	klakfrapi		curated	final_eo_word not found in ESPDIC — verify anchor
teamwork	labor	teamlaboro		curated	final_eo_word not found in ESPDIC — verify anchor
trudge	paŝ	trenpaŝi		curated	final_eo_word not found in ESPDIC — verify anchor
twinkly	bril	brileta		curated	final_eo_word not found in ESPDIC — verify anchor
awestruck	frap	mirfrapita		curated	final_eo_word not found in ESPDIC — verify anchor
bob	balanc	balanceti		curated	final_eo_word not found in ESPDIC — verify anchor
