en_lemma	total_freq	action	eo_root	eo_word	eo_gloss	component_roots	proposed_tier	cefr	alt_candidates	flag	notes
lily	4354	NEW	lil	lilo	lily		1	A1	lilio	ok	reclaimed from proper_noun — confirm not a name
mommy	1442	LINK	panj	panjo	mom, mommy		1	A1		ok	reclaimed from proper_noun — confirm not a name
hug	1116	NEW	brakum	brakumi	to embrace, hug		1	A1	brakumo, ĉirkaŭbraki, ĉirkaŭpremi, ĉirkaŭprenegi, ĉirkaŭpreni	ok	reclaimed from proper_noun — confirm not a name
jack	1086	NEW	bub	bubo	brat kid, urchin, jack (cards)		1	A1	fanto, ĵako, kriko	ok	reclaimed from proper_noun — confirm not a name
anna	648				ana, anna		1	A1	sesdekona rupio	no_match	reclaimed from proper_noun — confirm not a name
hop	618	NEW	hop	hopi	to hop		1	A1	danceti, lupolo, salteti, salteto	ok	reclaimed from proper_noun — confirm not a name
nod	480	NEW	balanc	balanci	to balance, rock, swing, sway, nod		1	A1	balanco, kapjesi, signodoni	ok	reclaimed from proper_noun — confirm not a name
rabbit	452	NEW	lepor	leporo	hare, rabbit		1	A1	kuniklo	ok	reclaimed from proper_noun — confirm not a name
daisy	394	NEW	belis	beliso	daisy		1	A1	lekanteto, lekanto, margarito	ok	reclaimed from proper_noun — confirm not a name
curious	388	NEW	sciam	sciama	curious, inquisitive		1	A1	esplorema, kurioza, sciema, scivola, stranga	ok	reclaimed from proper_noun — confirm not a name
sue	370	LINK	proces	procesi	to go to court, litigate, sue, plead		1	A1		ok	reclaimed from proper_noun — confirm not a name
doll	354	NEW	pup	pupo	chrysalis, pupa, doll, puppet		1	A1		ok	
okay	343	LINK	bon	bona	good, nice, okay, kind, nice		1	A1	ĝuste, konsentite, okej	ok	reclaimed from proper_noun — confirm not a name
daddy	338	LINK	paĉj	paĉjo	dad, daddy, pa, papa		1	A1		ok	reclaimed from proper_noun — confirm not a name
bug	291	NEW	mis	miso	evil, fault, foul, bug (software)		1	A1	eraro, insekto, kaŝaŭskulti, kaŝmikrofono, subaŭskulti	ok	
butterfly	291	NEW	papili	papilio	butterfly	pap+ili	1	A1		compound	
swing	274	NEW	sving	svingi	to brandish, fling, swing, wave, wave about		1	A1	balanci, balanciĝi, balancilo, pendoli, pendolilo	ok	
bunny	263	NEW	kuniklet	kunikleto	bunny		1	A1		ok	reclaimed from proper_noun — confirm not a name
mama	263	NEW	patrinet	patrineto	little mother, mama		1	A1		ok	reclaimed from proper_noun — confirm not a name
pond	242	NEW	laget	lageto	pond		1	A1		ok	
puppy	235	NEW	hundid	hundido	pup, puppy		1	A1		ok	reclaimed from proper_noun — confirm not a name
fox	224	NEW	vulp	vulpa	fox, vulpine		1	A1	vulpo	ok	reclaimed from proper_noun — confirm not a name
squirrel	214	NEW	sciur	sciuro	squirrel		1	A1		ok	reclaimed from proper_noun — confirm not a name
magical	202	LINK	magi	magia	magical		1	A1		ok	
clap	194	LINK	klak	klaki	to chatter, clap, click, rattle, flap, slap, smack		1	A1	aplaŭdi, gonoreo, kraki, manfrapi, plaŭdigi	ok	
duck	193	NEW	anas	anasa	duck, duck-, duck’s, of a duck		1	A1	anasaĵo, anasino, anaso	ok	
cheer	188	NEW	hur	huri	to cheer		1	A1	aplaŭdegi, huraadi, hurai, hurao, konsoli	ok	
balloon	181	NEW	balon	balono	balloon, flask		1	A1	aerostato, aerpilkego, baloneto, ŝveladi, ŝvelegi	ok	
owl	160	NEW	guf	gufo	(eagle) owl		1	A1	strigo	ok	reclaimed from proper_noun — confirm not a name
splash	153	NEW	plaŭd	plaŭdi	to beat, flap, lap, plash, splash		1	A1	elŝprucigi, plaŭdo, surŝprucigi, ŝpruci	ok	reclaimed from proper_noun — confirm not a name
castle	152	NEW	arok	aroki	to castle (in chess)		1	A1	kastelo	ok	reclaimed from proper_noun — confirm not a name
treasure	152	NEW	trezor	trezori	to treasure		1	A1	trezoro	ok	
skip	150	NEW	dancet	danceti	to hop, skip		1	A1	preterpasi, salteti, transsalti	ok	reclaimed from proper_noun — confirm not a name
monster	148	NEW	bestaĉ	bestaĉo	horrid creature, monster		1	A1	monstro	ok	reclaimed from proper_noun — confirm not a name
colorful	146	NEW	bunt	bunta	colorful, multicolored		1	A1	kolorplena	ok	reclaimed from proper_noun — confirm not a name
kitty	144	NEW	katet	kateto	kitty		1	A1		ok	reclaimed from proper_noun — confirm not a name
nearby	143	LINK	apud	apud	at, beside, by, near (to), nearby, next to		1	A1	apude, najbara, proksima, proksime	ok	
chase	142	NEW	pel	peli	to chase, drive, drive on, impel, shoo, expel, dispel, propel		1	A1	alceli, ĉasadi, ĉasado, ĉasi, ĉaskuri	ok	reclaimed from proper_noun — confirm not a name
dragon	141	NEW	drak	drako	dragon		1	A1		ok	
relieve	141	NEW	senpezig	senpezigi	to cause to be weightless, relieve		1	A1	malpligravigi	ok	
cave	139	LINK	kav	kavo	cave, cavity, groove		1	A1	groto, kaverno	ok	reclaimed from proper_noun — confirm not a name
sunny	138	LINK	sun	sune	sunny		1	A1	sunplena	ok	reclaimed from proper_noun — confirm not a name
bucket	137	NEW	sitel	sitelo	bucket, pail		1	A1	ŝutilo	ok	
cooky	134						1	A1		no_match	
fairy	134	NEW	fe	fea	faerie, fairy, spirit		1	A1	feina, feino, feo	ok	reclaimed from proper_noun — confirm not a name
spin	131	NEW	ŝpin	ŝpini	to spin (thread)		1	A1	spinmomanto	ok	
snack	129	NEW	lunĉ	lunĉo	lunch, snack		1	A1	intermanĝeto, manĝetaĵo, manĝeti, meztagmanĝo	ok	
kite	128	NEW	kajt	kajto	kite		1	A1	cirkuo, deltoido, flugdrako, flugludilo, kirko	ok	
blanket	127	LINK	tapiŝ	tapiŝi	to blanket, carpet		1	A1	lankovrilo, litkovrilo, sternaĵo	ok	
backyard	123	NEW	malantaŭkort	malantaŭkorto	backyard		1	A1		ok	
naughty	122	NEW	malbon	malbona	bad, miserable, nasty, poor, naughty, evil, wicked		1	A1		ok	
nap	119	NEW	lanug	lanugo	down, fluff, nap		1	A1	dormeti, dormeto	ok	
yell	118	NEW	ŝrik	ŝriki	to howl, vociferate, yell		1	A1	ekkrio, kriegi, kriego	ok	
delight	115	LINK	ĝu	ĝuo	delight, joy		1	A1	delekti, delico, ekstazo, feliĉigi, ĝuego	ok	
shin	114						1	A1		no_match	
swam	114						1	A1		no_match	
crayon	111	NEW	paŝtel	paŝtelo	crayon, pastel		1	A1	kolorilo	ok	reclaimed from proper_noun — confirm not a name
bow	108	NEW	ark	arko	arc, bow, arch, buttress		1	A1	arbalesto, arĉo, banto, baŭo, klino	ok	
tasty	107	NEW	frand	franda	alluring, attractive, enticing, tempting, appetizing, delicious, tasty		1	A1	bongusta	ok	
whistle	107	NEW	fajf	fajfi	to whistle		1	A1	fajfilo, fajfo, mokfajfi, sibli	ok	reclaimed from proper_noun — confirm not a name
basket	105	NEW	korb	korbo	basket, hamper		1	A1		ok	
giggle	105	NEW	subrid	subrido	giggle, snigger		1	A1	kaŝridi	ok	reclaimed from proper_noun — confirm not a name
jog	104	NEW	ĝog	ĝogi	to jog		1	A1	ekpuŝi, ĵogi, skueti	ok	reclaimed from proper_noun — confirm not a name
sack	104	LINK	sak	sako	bag, sack, wallet		1	A1	eksigi, rabadi, veziklo	ok	
kitten	103	NEW	katid	katido	kitten		1	A1		ok	reclaimed from proper_noun — confirm not a name
sunshine	103	NEW	sunbril	sunbrilo	sun, sunshine	sun+bril	1	A1		compound	
bounce	102	LINK	salt	salti	to jump, leap, spring, bounce, bound, vault		1	A1	resalti, resaltigi, resalto, reveni, risorteco	ok	
crawl	102	NEW	ramp	rampi	to crawl, creep, sneak		1	A1	rampo	ok	
cozy	100	LINK	komfort	komforta	at ease, comfortable, cozy, snug		1	A1		ok	reclaimed from proper_noun — confirm not a name
sparkle	100	LINK	bril	brili	to glisten, glow, shine, sparkle		1	A1	briletado, brileto, ekbrileti, fajreri, fulmeti	ok	reclaimed from proper_noun — confirm not a name
peter	98	NEW	peniset	peniseto	peter, willy		1	A1		ok	reclaimed from proper_noun — confirm not a name
rainbow	98	NEW	pluvark	pluvarko	rainbow	pluv+ark	1	A1	ĉielarko	compound	
grandpa	94	NEW	avĉj	avĉjo	grandpa, granddad		1	A1		ok	reclaimed from proper_noun — confirm not a name
