lemma	total_freq	origin	has_anchor
lily	4354	reclaimed	yes
mommy	1442	reclaimed	yes
hug	1116	reclaimed	yes
jack	1086	reclaimed	yes
anna	648	reclaimed	no
hop	618	reclaimed	yes
nod	480	reclaimed	yes
rabbit	452	reclaimed	yes
daisy	394	reclaimed	yes
curious	388	reclaimed	yes
sue	370	reclaimed	yes
doll	354	common_gap	yes
okay	343	reclaimed	yes
daddy	338	reclaimed	yes
bug	291	common_gap	yes
butterfly	291	common_gap	yes
swing	274	common_gap	yes
bunny	263	reclaimed	yes
mama	263	reclaimed	yes
pond	242	common_gap	yes
puppy	235	reclaimed	yes
fox	224	reclaimed	yes
squirrel	214	reclaimed	yes
magical	202	common_gap	yes
clap	194	common_gap	yes
duck	193	common_gap	yes
cheer	188	common_gap	yes
balloon	181	common_gap	yes
owl	160	reclaimed	yes
splash	153	reclaimed	yes
castle	152	reclaimed	yes
treasure	152	common_gap	yes
skip	150	reclaimed	yes
monster	148	reclaimed	yes
colorful	146	reclaimed	yes
kitty	144	reclaimed	yes
nearby	143	common_gap	yes
chase	142	reclaimed	yes
dragon	141	common_gap	yes
relieve	141	common_gap	yes
cave	139	reclaimed	yes
sunny	138	reclaimed	yes
bucket	137	common_gap	yes
cooky	134	common_gap	no
fairy	134	reclaimed	yes
spin	131	common_gap	yes
snack	129	common_gap	yes
kite	128	common_gap	yes
blanket	127	common_gap	yes
backyard	123	common_gap	yes
naughty	122	common_gap	yes
nap	119	common_gap	yes
yell	118	common_gap	yes
delight	115	common_gap	yes
shin	114	common_gap	no
swam	114	common_gap	no
crayon	111	reclaimed	yes
bow	108	common_gap	yes
tasty	107	common_gap	yes
whistle	107	reclaimed	yes
basket	105	common_gap	yes
giggle	105	reclaimed	yes
jog	104	reclaimed	yes
sack	104	common_gap	yes
kitten	103	reclaimed	yes
sunshine	103	common_gap	yes
bounce	102	common_gap	yes
crawl	102	common_gap	yes
cozy	100	reclaimed	yes
sparkle	100	reclaimed	yes
peter	98	reclaimed	yes
rainbow	98	common_gap	yes
grandpa	94	reclaimed	yes
lovely	92	common_gap	yes
roar	92	reclaimed	yes
bark	91	reclaimed	yes
furry	90	reclaimed	yes
cute	89	common_gap	yes
puddle	89	common_gap	yes
meadow	87	common_gap	yes
peanut	87	reclaimed	yes
zoom	87	reclaimed	yes
jar	84	common_gap	yes
jungle	84	reclaimed	yes
sandy	83	reclaimed	yes
peek	82	common_gap	yes
picnic	82	common_gap	yes
playground	81	common_gap	yes
puzzle	81	reclaimed	yes
