en_lemma	decision	note	eo_root_override	eo_word_override	source	reason	ts
lily	accept	lilly flower			human	imported from xlsx column I	2026-07-04T21:49:54+00:00
mommy	accept	unclear translation (patrineto?)			human	imported from xlsx column I	2026-07-04T21:49:54+00:00
hug	accept				human	imported from xlsx column I	2026-07-04T21:49:54+00:00
jack	reject	brat boy			human	imported from xlsx column I	2026-07-04T21:49:54+00:00
anna	reject				human	imported from xlsx column I	2026-07-04T21:49:54+00:00
hop	accept				human	imported from xlsx column I	2026-07-04T21:49:54+00:00
nod	accept	unclear translation (signodoni?)			human	imported from xlsx column I	2026-07-04T21:49:54+00:00
rabbit	accept				human	imported from xlsx column I	2026-07-04T21:49:54+00:00
daisy	accept				human	imported from xlsx column I	2026-07-04T21:49:54+00:00
curious	accept	unclear translation (kurioza)			human	imported from xlsx column I	2026-07-04T21:49:54+00:00
sue	reject				human	imported from xlsx column I	2026-07-04T21:49:54+00:00
okay	accept				human	imported from xlsx column I	2026-07-04T21:49:54+00:00
daddy	accept				human	imported from xlsx column I	2026-07-04T21:49:54+00:00
bunny	accept	unclear translation: rabbit			human	imported from xlsx column I	2026-07-04T21:49:54+00:00
mama	accept	translation: mother dear			human	imported from xlsx column I	2026-07-04T21:49:54+00:00
puppy	accept	unclear translation: little dog			human	imported from xlsx column I	2026-07-04T21:49:54+00:00
fox	accept				human	imported from xlsx column I	2026-07-04T21:49:54+00:00
squirrel	accept				human	imported from xlsx column I	2026-07-04T21:49:54+00:00
owl	accept				human	imported from xlsx column I	2026-07-04T21:49:54+00:00
splash	accept	unclear translation (spruci)			human	imported from xlsx column I	2026-07-04T21:49:54+00:00
castle	accept	unclear translation (kastelo)			human	imported from xlsx column I	2026-07-04T21:49:54+00:00
skip	accept	multiple meanings (skip around, skip away, skip over, skip in, skip through…), including danceti			human	imported from xlsx column I	2026-07-04T21:49:54+00:00
monster	accept				human	imported from xlsx column I	2026-07-04T21:49:54+00:00
colorful	accept	unclear translation 			human	imported from xlsx column I	2026-07-04T21:49:54+00:00
kitty	accept	unclear eo translation (katido?)			human	imported from xlsx column I	2026-07-04T21:49:54+00:00
chase	accept	unclear translation			human	imported from xlsx column I	2026-07-04T21:49:54+00:00
cave	accept				human	imported from xlsx column I	2026-07-04T21:49:54+00:00
sunny	accept				human	imported from xlsx column I	2026-07-04T21:49:54+00:00
fairy	accept	unclear translation (feino)			human	imported from xlsx column I	2026-07-04T21:49:54+00:00
crayon	accept				human	imported from xlsx column I	2026-07-04T21:49:54+00:00
whistle	accept	unclear translation			human	imported from xlsx column I	2026-07-04T21:49:54+00:00
giggle	accept	unclear translation			human	imported from xlsx column I	2026-07-04T21:49:54+00:00
jog	accept	unclear translation			human	imported from xlsx column I	2026-07-04T21:49:54+00:00
kitten	accept	unclear eo translation (kateto?)			human	imported from xlsx column I	2026-07-04T21:49:54+00:00
cozy	accept				human	imported from xlsx column I	2026-07-04T21:49:54+00:00
sparkle	accept	unclear translation (brileto)			human	imported from xlsx column I	2026-07-04T21:49:54+00:00
peter	reject				human	imported from xlsx column I	2026-07-04T21:49:54+00:00
grandpa	accept	unclear translation			human	imported from xlsx column I	2026-07-04T21:49:54+00:00
roar	accept	unclear translation, maybe several meanings for Tier 1			human	imported from xlsx column I	2026-07-04T21:49:54+00:00
bark	accept	unclear eo translation (barko?)			human	imported from xlsx column I	2026-07-04T21:49:54+00:00
furry	accept	unclear translation: soft, bush-like			human	imported from xlsx column I	2026-07-04T21:49:54+00:00
peanut	accept				human	imported from xlsx column I	2026-07-04T21:49:54+00:00
zoom	accept	unclear translation: move			human	imported from xlsx column I	2026-07-04T21:49:54+00:00
jungle	accept				human	imported from xlsx column I	2026-07-04T21:49:54+00:00
sandy	accept	bad translation: lot of sand			human	imported from xlsx column I	2026-07-04T21:49:54+00:00
puzzle	accept				human	imported from xlsx column I	2026-07-04T21:49:54+00:00
mrs	accept				human	imported from xlsx column I	2026-07-04T21:49:54+00:00
