set	member	in_lexicon	proposed_eo_anchor	eo_gloss
family	mother	Y		
family	father	Y		
family	mom	Y		
family	dad	Y		
family	mommy	N	panj/panjo	mom, mommy
family	daddy	N	paĉj/paĉjo	dad, daddy, pa, papa
family	parent	Y		
family	sister	Y		
family	brother	Y		
family	sibling	N	frat/frato	brother, sibling
family	grandmother	Y		
family	grandfather	Y		
family	grandma	N		
family	grandpa	N	avĉj/avĉjo	grandpa, granddad
family	aunt	Y		
family	uncle	Y		
family	cousin	Y		
family	niece	N	nevin/nevino	niece
family	nephew	N	nev/nevo	nephew
family	son	Y		
family	daughter	Y		
family	child	Y		
family	baby	Y		
family	wife	Y		
family	husband	Y		
family	family	Y		
body	head	Y		
body	hair	Y		
body	face	Y		
body	eye	Y		
body	ear	Y		
body	nose	Y		
body	mouth	Y		
body	lip	Y		
body	tooth	Y		
body	tongue	Y		
body	cheek	N	vang/vango	cheek, jowl
body	chin	N	menton/mentono	chin
body	neck	Y		
body	shoulder	Y		
body	arm	Y		
body	elbow	N	kubut/kubuto	elbow
body	hand	Y		
body	wrist	N	pojn/pojno	wrist
body	finger	Y		
body	thumb	N	poleks/polekso	thumb
body	palm	N	palm/palmo	palm, palm tree
body	chest	Y		
body	back	Y		
body	stomach	Y		
body	belly	N	ventr/ventro	abdomen, stomach, belly, tummy
body	leg	Y		
body	knee	Y		
body	foot	Y		
body	toe	Y		
body	heel	Y		
body	ankle	Y		
body	hip	N	koks/kokso	haunch, hip
body	skin	Y		
body	bone	Y		
body	forefinger	N		
body	pinky	N	etfingr/etfingro	little finger, pinky (finger)
colours	red	Y		
colours	orange	Y		
colours	yellow	Y		
colours	green	Y		
colours	blue	Y		
colours	purple	Y		
colours	pink	Y		
colours	brown	Y		
colours	black	Y		
colours	white	Y		
colours	grey	N	griz/grizo	grey
colours	gray	Y		
numbers	one	Y		
numbers	two	Y		
numbers	three	Y		
numbers	four	Y		
numbers	five	Y		
numbers	six	Y		
numbers	seven	Y		
numbers	eight	Y		
numbers	nine	Y		
numbers	ten	Y		
numbers	eleven	Y		
numbers	twelve	Y		
numbers	thirteen	Y		
numbers	fourteen	Y		
numbers	fifteen	Y		
numbers	sixteen	Y		
numbers	seventeen	Y		
numbers	eighteen	Y		
numbers	nineteen	Y		
numbers	twenty	Y		
numbers	thirty	Y		
numbers	forty	Y		
numbers	fifty	Y		
numbers	sixty	Y		
numbers	seventy	Y		
numbers	eighty	Y		
numbers	ninety	Y		
numbers	hundred	Y		
days	monday	Y		
days	tuesday	Y		
days	wednesday	Y		
days	thursday	Y		
days	friday	Y		
days	saturday	Y		
days	sunday	Y		
months	january	Y		
months	february	Y		
months	march	Y		
months	april	Y		
months	may	Y		
months	june	Y		
months	july	Y		
months	august	Y		
months	september	Y		
months	october	Y		
months	november	Y		
months	december	Y		
weather	sun	Y		
weather	rain	Y		
weather	snow	Y		
weather	wind	Y		
weather	cloud	Y		
weather	storm	Y		
weather	fog	N	nebul/nebulo	fog, mist
weather	ice	Y		
weather	sunny	N	sun/sune	sunny
weather	rainy	N	pluv/pluva	rain, of rain, rainy
weather	cloudy	N	nub/nuba	cloudy, overcast, gloomy, obscure, unclear
