en_lemma	total_freq	final_eo_root	final_eo_word	eo_gloss	band	head_root_inventory_tier	proposed_tier	review_flag
dodge	4	evit	eviti	to avoid, evade, eschew, keep aloof, shirk, shun	P6_tail	core	2	
gator	4	aligator	aligatoro	alligator	P6_tail	tail	2	rare-anchor
gladly	4	ĝoj	ĝoje	joyfully, happily	P6_tail	core	2	
hideout	4	ej	kaŝejo	hiding place	P6_tail	core	2	
hungrily	4	malsat	malsate		P6_tail	core	2	
mesmerize	4	hipnot	hipnoti		P6_tail	core	2	
pepperoni	4	peperon	peperono		P6_tail	core	2	
pro	4	profesi	profesiulo	professional	P6_tail	core	2	
seatbelt	4	zon	sekurzono	safety belt, seat belt	P6_tail	core	2	
snooze	4	dorm	dormeti	to doze, nap, slumber	P6_tail	core	2	
squishy	4	mol	premmola		P6_tail	core	2	
sunscreen	4	krem	sunkremo	sunscreen	P6_tail	extended	2	
veggie	4	legom	legomo	vegetable	P6_tail	extended	2	
bluebird	3	bird	blubirdo		P6_tail	core	2	
dining	3	manĝ	manĝado	repast	P6_tail	core	2	
dollhouse	3	dom	pupdomo	doll house	P6_tail	core	2	
energize	3	energi	energiigi		P6_tail	extended	2	
glittery	3	bril	brileta		P6_tail	core	2	
goody	3	frand	frandaĵo	delicacy, tidbit, sweet, rarity, tidbit	P6_tail	core	2	
heartbroken	3	ŝir	korŝirita		P6_tail	core	2	
honeybee	3	abel	mielabelo		P6_tail	core	2	
lunchtime	3	temp	lunĉtempo		P6_tail	core	2	
mat	3	mat	mato	checkmate, mate	P6_tail	tail	2	rare-anchor
moonwalk	3	marŝ	lunmarŝo		P6_tail	core	2	
padlock	3	kadenac	kadenaco	padlock	P6_tail	—	2	rare-anchor
playhouse	3	dom	luddomo		P6_tail	core	2	
pointy	3	pint	pinta	pointed, spiked, leading	P6_tail	core	2	
shyly	3	hont	hontete		P6_tail	core	2	
sideways	3	flank	flanken	aside, to the side	P6_tail	core	2	
smoothie	3	trink	fruktotrinkaĵo		P6_tail	core	2	
snarl	3	graŭl	graŭli	to growl	P6_tail	tail	2	rare-anchor
stairway	3	ŝtup	ŝtuparo	staircase, stairs	P6_tail	core	2	
storybook	3	libr	rakontlibro		P6_tail	core	2	
sweetly	3	dolĉ	dolĉe	gently	P6_tail	core	2	
tantrum	3	kriz	kolerkrizo		P6_tail	tail	2	rare-anchor
tickly	3	tikl	tiklema		P6_tail	extended	2	
windowsill	3	bret	fenestrobreto	window sill	P6_tail	core	2	
yummy	3	gust	bongusta	luscious, nice, tasty, savory, succulent	P6_tail	core	2	
atop	2	supr	supre	above, on top, overhead, upstairs, aloft, up, upstairs	P6_tail	core	2	
awhile	2	temp	momenton	a moment, a few minutes	P6_tail	core	2	
beady	2	bid	bidsimila		P6_tail	core	2	
birdseed	2	gren	birdogreno		P6_tail	core	2	
blob	2	glob	globaĵo		P6_tail	extended	2	
bubblegum	2	gum	maĉgumo	chewing gum	P6_tail	tail	2	rare-anchor
campsite	2	ej	kampadejo	camping ground, camping site	P6_tail	core	2	
carefree	2	zorg	senzorga	careless, neglectful, reckless, remiss	P6_tail	core	2	
carton	2	karton	kartono	cardboard, pasteboard	P6_tail	core	2	
cranny	2	fend	fendeto	fissure	P6_tail	core	2	
doorbell	2	sonoril	pordsonorilo		P6_tail	core	2	
doorstep	2	sojl	sojlo	sill, threshold	P6_tail	tail	2	rare-anchor
flurry	2	turb	neĝoturbo		P6_tail	core	2	
footstep	2	paŝ	piedpaŝo		P6_tail	core	2	
grandkid	2	nep	genepo	grandchild	P6_tail	core	2	
grouchy	2	grumbl	grumblema	morose	P6_tail	core	2	
hideaway	2	ej	kaŝejo	hiding place	P6_tail	core	2	
hike	2	migr	migri	to migrate, roam, wander, wander about, travel about	P6_tail	core	2	
jellybean	2	bombon	ĝelebombono		P6_tail	core	2	
junkyard	2	ej	rubejo	garbage dump	P6_tail	core	2	
knights	2	kavalir	kavaliro	cavalier, knight, chevalier	P6_tail	core	2	
lush	2	abund	abunda	abundant, affluent, ample, copious, plentiful, profuse, rich, bountiful	P6_tail	core	2	
midst	2	mez	mezo	average, mean, middle	P6_tail	core	2	
mini	2	et	eta	tiny	P6_tail	tail	2	rare-anchor
nightlight	2	lamp	noktolampo		P6_tail	core	2	
nightstand	2	tabl	noktotableto		P6_tail	core	2	
oily	2	ole	olea		P6_tail	extended	2	
piggybank	2	pork	ŝparporketo		P6_tail	core	2	
popsicle	2	baston	glacibastoneto		P6_tail	core	2	
restful	2	ripoz	ripoziga		P6_tail	core	2	
sizzle	2	sibl	sibli	to hiss, whistle	P6_tail	core	2	
soundly	2	fund	profunde	deeply, profoundly	P6_tail	core	2	
spook	2	tim	ektimigi		P6_tail	core	2	
sugary	2	suker	sukera	bland, sugary	P6_tail	core	2	
surprisingly	2	surpriz	surprize	aback	P6_tail	core	2	
swat	2	frap	klakfrapi		P6_tail	core	2	
swipe	2	kapt	forkapti	to hijack, kidnap	P6_tail	core	2	
teamwork	2	labor	teamlaboro		P6_tail	core	2	
trudge	2	paŝ	trenpaŝi		P6_tail	core	2	
twinkly	2	bril	brileta		P6_tail	core	2	
alleyways	1	strat	strateto	alley, lane	P6_tail	core	2	
awestruck	1	frap	mirfrapita		P6_tail	core	2	
beachs	1	strand	strando	beach, shore	P6_tail	tail	2	rare-anchor
bedspread	1	kovril	litkovrilo	bedcover, blanket, quilt	P6_tail	core	2	
bendy	1	fleks	fleksebla	flexible, pliable, pliant, supple	P6_tail	core	2	
birdsong	1	kant	birdokanto	bird song	P6_tail	core	2	
bob	1	balanc	balanceti		P6_tail	core	2	
