en_lemma	decision	final_tier	note	total_freq	final_eo_word	eo_gloss	proposed_tier
gator	keep	2		4	aligatoro	alligator	2
mat	keep	2		3	mato	checkmate, mate	2
padlock	keep	2		3	kadenaco	padlock	2
snarl	keep	2		3	graŭli	to growl	2
tantrum	keep	2		3	kolerkrizo		2
bubblegum	keep	2		2	maĉgumo	chewing gum	2
doorstep	keep	2		2	sojlo	sill, threshold	2
mini	keep	2		2	eta	tiny	2
beachs	drop		junk: misspelling of 'beaches' — not a word	1	strando	beach, shore	2
chocolaty	keep	2	real informal word — keep	1	ĉokolada	chocolate	2
forwards	keep	2		1	antaŭen	ahead, forth, forward(s), on(ward)	2
grimy	keep	2		1	kotoza		2
inevitably	keep	2		1	neeviteble	unavoidably	2
ledge	keep	2		1	kornico	cornice	2
rainstorm	keep	2		1	pluvoŝtormo		2
shoebox	keep	2		1	ŝuskesto		2
snowstorm	keep	2		1	neĝoŝtormo	blizzard	2
stretchy	keep	2		1	elastika		2
triumphant	keep	2		1	triumfa	triumphal	2
tutu	keep	2		1	baletjupo	ballet skirt	2
unbelievably	keep	2		1	nekredeble	incredibly	2
twitch	keep	2		4	spasmeti	twitch	2
bamboo	keep	2		3	bambuo	bamboo	2
lobby	keep	2		3	vestiblo	entrance hall, lobby, porch, vestibule	2
prey	keep	2		3	predo	booty, loot, prey	2
hover	keep	2		2	ŝvebi	to circle, hang, hover, float	2
savor	keep	2		2	ĝui	to delight in, enjoy, relish	2
choke	keep	2		1	sufoki	to choke, quell, suffocate, suppress, smother, stifle strangle, throttle	2
collage	keep	2		1	kolaĝo	collage	2
corridor	keep	2		1	koridoro	corridor, passage, hallway, hall, lane, passageway	2
skate	keep	2		1	sketilo	skate	2
stuffy	keep	2		1	sufoka	airless, oppressive, stifling, sultry, suffocating	2
bubbly	keep	2		4	eferverska	bubbly	2
bushy	keep	2		4	arbeda	bushy	2
cheetah	keep	2		4	gepardo	cheetah	2
chilly	keep	2		4	friska	chilly	2
compass	keep	2		4	busolo	compass	2
cowboy	keep	2		4	gaŭĉo	cowboy, gaucho	2
fondly	keep	2		4	ame	fondly, lovingly	2
handkerchief	keep	2		4	poŝtuko	handkerchief, tissue	2
hedgehog	keep	2		4	erinaco	hedgehog	2
hind	keep	2		4	posta	hind, hindmost, posterior, ulterior	2
hip	keep	2		4	kokso	haunch, hip	2
miracle	keep	2		4	miraklo	miracle	2
mischievous	keep	2		4	blaga	humorous, playful, mischievous	2
pod	keep	2		4	guŝo	husk, pod	2
sprout	keep	2		4	ŝosi	to sprout	2
stern	keep	2		4	pobo	poop(deck), stern	2
stormy	keep	2		4	ŝtorma	stormy	2
unload	keep	2		4	deŝarĝi	to unload, discharge	2
unripe	keep	2		4	nematura	immature, unripe, not ripe	2
vessel	keep	2		4	ujo	bin, container, box, vessel	2
wrist	keep	2		4	pojno	wrist	2
abc	keep	2		3	aboco	ABC, alphabet, basics, fundamentals, primer, rudiments	2
abracadabra	keep	2		3	abrakadabro	abracadabra	2
blade	keep	2		3	kulmo	blade, stalk	2
calf	keep	2		3	suro	calf	2
cherish	keep	2		3	ami	to love, cherish	2
cooperate	keep	2		3	kunagi	to cooperate	2
dash	keep	2		3	iregi	to dash, to rush	2
hoot	keep	2		3	hui	to boo, hoot	2
leafy	keep	2		3	folriĉa	leafy, rich in leaves	2
pony	keep	2		3	poneo	pony	2
pouch	keep	2		3	kropo	craw, crop, goiter, gullet, pouch	2
seahorse	keep	2		3	hipokampo	seahorse	2
surfboard	keep	2		3	surftabulo	surfboard	2
teapot	keep	2		3	teujo	teapot, tea caddy, tea canister	2
waddle	keep	2		3	anasiri	to waddle	2
awkward	keep	2		2	plumpa	awkward, lumpish, plump, ungainly	2
baa	keep	2		2	bei	to baa, bleat	2
basin	keep	2		2	pelvo	basin, bowl, pelvis	2
