root	route	signal	inv_tier	gloss_zipf	gloss_head	gloss
pra	philology_t4	archaic-marker:ancient	extended	4.68	ancient	ancient, primal, primeval, primitive, primordial
parnas	philology_t4	archaic-marker:poetic	tail	3.69	poetic	poetic, Parnassian
neaktual	philology_t4	archaic-marker:obsolete	tail	3.65	obsolete	obsolete
troantikv	philology_t4	archaic-marker:obsolete	tail	3.65	obsolete	obsolete
dialekt	philology_t4	archaic-marker:dialect	tail	3.54	dialect	dialect
arĥaik	philology_t4	archaic-marker:archaic	tail	3.36	archaic	archaic
arkaj	philology_t4	archaic-marker:archaic	tail	3.06	antiquated	antiquated, archaic, obsolete
arĥaj	philology_t4	archaic-marker:archaic	tail	3.06	antiquated	antiquated, archaic, obsolete
antaŭdiluv	philology_t4	archaic-marker:ancient	tail	2.08	antediluvian	antediluvian, very ancient
arŝin	philology_t4	archaic-marker:obsolete	tail	0.00		arshin (аршин – an obsolete Russian unit of length, approximately 71 cm)
lokri	philology_t4	archaic-marker:ancient	tail	0.00		Locrian (of ancient Greece)
malnovegipt	philology_t4	archaic-marker:ancient	tail	0.00	ancient	ancient Egyptian
spes	philology_t4	archaic-marker:obsolete	tail	0.00		speso (basic unit of the obsolete spesmilo currency)
spesmil	philology_t4	archaic-marker:obsolete	tail	0.00		spesmilo (obsolete decimal international currency)
futur	unclassified	no-directional-signal;zipf=5.33	core	5.33	future	future, future tense
reĝisor	unclassified	no-directional-signal;zipf=5.15	tail	5.15	director	director, stage manager
ĉinokt	unclassified	no-directional-signal;zipf=5.03	tail	5.03	tonight	tonight
finpretig	unclassified	no-directional-signal;zipf=4.91	tail	4.91	finish	to finish, get finished
disventiĝ	unclassified	no-directional-signal;zipf=4.81	tail	4.81	spread	to spread, scatter
vajc	unclassified	no-directional-signal;zipf=4.71	tail	4.71	vice	vice
streb	unclassified	no-directional-signal;zipf=4.61	extended	4.61	seek	to seek, strive for
interokazaĵ	unclassified	no-directional-signal;zipf=4.54	tail	4.54	incident	incident
dentorad	unclassified	no-directional-signal;zipf=4.46	tail	4.46	gear	gear
novaĵgrup	unclassified	no-directional-signal;zipf=4.38	tail	4.38	forum	forum, newsgroup
mikrocirkvit	unclassified	no-directional-signal;zipf=4.31	tail	4.31	chip	chip
serĉordon	unclassified	no-directional-signal;zipf=4.24	tail	4.24	warrant	warrant
ĉuk	unclassified	no-directional-signal;zipf=4.17	tail	4.17	chuck	chuck, mandrel
ksi	unclassified	no-directional-signal;zipf=4.12	tail	4.12	xi	xi
ŝvelondad	unclassified	no-directional-signal;zipf=4.06	tail	4.06	hull	hull
manartik	unclassified	no-directional-signal;zipf=4.01	tail	4.01	wrist	wrist
forfandiĝ	unclassified	no-directional-signal;zipf=3.96	tail	3.96	melt	to melt, melt away
antaŭurb	unclassified	no-directional-signal;zipf=3.91	tail	3.91	suburban	suburban
agebl	unclassified	no-directional-signal;zipf=3.86	tail	3.86	operative	operative
seksavid	unclassified	no-directional-signal;zipf=3.79	tail	3.79	horny	horny
pneŭmoni	unclassified	no-directional-signal;zipf=3.74	tail	3.74	pneumonia	pneumonia
kvinangul	unclassified	no-directional-signal;zipf=3.70	tail	3.70	pentagon	pentagon
elbuŝig	unclassified	no-directional-signal;zipf=3.66	tail	3.66	pronounce	to pronounce, say
segregaci	unclassified	no-directional-signal;zipf=3.61	tail	3.61	apartheid	apartheid
sudpolus	unclassified	no-directional-signal;zipf=3.56	tail	3.56	antarctic	antarctic
marraboad	unclassified	no-directional-signal;zipf=3.52	tail	3.52	piracy	piracy
kloŝoĉapel	unclassified	no-directional-signal;zipf=3.48	tail	3.48	bowler	bowler
forklin	unclassified	no-directional-signal;zipf=3.44	tail	3.44	parry	to parry, ward off
kaŝobserv	unclassified	no-directional-signal;zipf=3.39	extended	3.39	peep	to peep, peep upon, spy, spy upon
kurtvoj	unclassified	no-directional-signal;zipf=3.35	tail	3.35	shortcut	shortcut
barok	unclassified	no-directional-signal;zipf=3.32	tail	3.32	baroque	baroque
trident	unclassified	no-directional-signal;zipf=3.27	tail	3.27	trident	trident
harplektaĵ	unclassified	no-directional-signal;zipf=3.24	tail	3.24	braid	braid
brulestingist	unclassified	no-directional-signal;zipf=3.20	tail	3.20	fireman	fireman
menopaŭz	unclassified	no-directional-signal;zipf=3.16	tail	3.16	menopause	menopause
rezervostok	unclassified	no-directional-signal;zipf=3.12	tail	3.12	stockpile	to stockpile
levjatan	unclassified	no-directional-signal;zipf=3.09	tail	3.09	leviathan	leviathan
dermatolog	unclassified	no-directional-signal;zipf=3.06	tail	3.06	dermatologist	dermatologist
vobl	unclassified	no-directional-signal;zipf=3.02	tail	3.02	wobble	to wobble
ostoporoz	unclassified	no-directional-signal;zipf=2.99	tail	2.99	osteoporosis	osteoporosis
botelkol	unclassified	no-directional-signal;zipf=2.97	tail	2.97	bottleneck	bottleneck
makabr	unclassified	no-directional-signal;zipf=2.93	tail	2.93	macabre	macabre
nekonsiderem	unclassified	no-directional-signal;zipf=2.90	tail	2.90	thoughtless	thoughtless, unthinking, mindless, wanton
plenkuler	unclassified	no-directional-signal;zipf=2.87	tail	2.87	spoonful	spoonful
bitokvar	unclassified	no-directional-signal;zipf=2.85	tail	2.85	nibble	nibble
skvam	unclassified	no-directional-signal;zipf=2.81	tail	2.81	scaly	scaly, squamous, flaky
knabulin	unclassified	no-directional-signal;zipf=2.79	tail	2.79	tomboy	tomboy
malhomogenec	unclassified	no-directional-signal;zipf=2.76	tail	2.76	heterogeneity	heterogeneity
hiacint	unclassified	no-directional-signal;zipf=2.73	tail	2.73	hyacinth	hyacinth
bittri	unclassified	no-directional-signal;zipf=2.70	tail	2.70	triplet	triplet
knel	unclassified	no-directional-signal;zipf=2.67	tail	2.67	dumpling	dumpling
celuloid	unclassified	no-directional-signal;zipf=2.65	tail	2.65	celluloid	celluloid
gimastik	unclassified	no-directional-signal;zipf=2.62	tail	2.62	gymnastic	gymnastic
cimbal	unclassified	no-directional-signal;zipf=2.59	extended	2.59	cymbal	cymbal
hermetik	unclassified	no-directional-signal;zipf=2.56	extended	2.56	hermetic	hermetic, airtight
talk	unclassified	no-directional-signal;zipf=2.52	tail	2.52	talc	talc, talcum
fakoĥer	unclassified	no-directional-signal;zipf=2.49	tail	2.49	warthog	warthog
facilrisk	unclassified	no-directional-signal;zipf=2.46	tail	2.46	overconfident	overconfident
afin	unclassified	no-directional-signal;zipf=2.43	extended	2.43	affine	affine, having affinity
lani	unclassified	no-directional-signal;zipf=2.39	tail	2.39	shrike	shrike
omikron	unclassified	no-directional-signal;zipf=2.35	tail	2.35	omicron	omicron
pastel	unclassified	no-directional-signal;zipf=2.31	tail	2.31	lozenge	lozenge, pastille
sarong	unclassified	no-directional-signal;zipf=2.27	tail	2.27	sarong	sarong
kampanol	unclassified	no-directional-signal;zipf=2.23	tail	2.23	bellflower	bellflower, Canterbury bell
mnemoteĥnik	unclassified	no-directional-signal;zipf=2.19	tail	2.19	mnemonics	mnemonics
perluet	unclassified	no-directional-signal;zipf=2.15	tail	2.15	ampersand	ampersand
cibet	unclassified	no-directional-signal;zipf=2.12	tail	2.12	civet	civet
ans	unclassified	no-directional-signal;zipf=2.08	tail	2.08	akimbo	akimbo
nekompren	unclassified	no-directional-signal;zipf=2.03	tail	2.03	incomprehension	incomprehension
blovŝalm	unclassified	no-directional-signal;zipf=1.99	tail	1.99	blowpipe	blowpipe
malorganizitec	unclassified	no-directional-signal;zipf=1.94	tail	1.94	anomie	anomie
mirabel	unclassified	no-directional-signal;zipf=1.90	tail	1.90	mirabelle	mirabelle
kvazaŭtrup	unclassified	no-directional-signal;zipf=1.86	tail	1.86	paratroops	paratroops
enspermig	unclassified	no-directional-signal;zipf=1.81	tail	1.81	inseminate	to inseminate
heksametr	unclassified	no-directional-signal;zipf=1.76	tail	1.76	hexameter	hexameter
kuleranas	unclassified	no-directional-signal;zipf=1.70	tail	1.70	shoveler	shoveler
insektomanĝul	unclassified	no-directional-signal;zipf=1.65	tail	1.65	insectivores	insectivores
desintegrator	unclassified	no-directional-signal;zipf=1.60	tail	1.60	disintegrator	disintegrator
trifori	unclassified	no-directional-signal;zipf=1.53	tail	1.53	triforium	triforium
moskobov	unclassified	no-directional-signal;zipf=1.45	tail	1.45	muskox	muskox
intrigemul	unclassified	no-directional-signal;zipf=1.38	tail	1.38	intriguer	intriguer, schemer
bronkoskop	unclassified	no-directional-signal;zipf=1.31	tail	1.31	bronchoscope	bronchoscope
duakanon	unclassified	no-directional-signal;zipf=1.23	tail	1.23	deuterocanonical	deuterocanonical
nevendebl	unclassified	no-directional-signal;zipf=1.15	tail	1.15	unsalable	unsalable
seborgi	unclassified	no-directional-signal;zipf=1.05	tail	1.05	seaborgium	seaborgium
abakteri	unclassified	no-directional-signal;zipf=0.00	tail	0.00	abacterial	abacterial
adresetiked	unclassified	no-directional-signal;zipf=0.00	tail	0.00	address	address label
afervojaĝ	unclassified	no-directional-signal;zipf=0.00	tail	0.00	business	business trip
akslagr	unclassified	no-directional-signal;zipf=0.00	tail	0.00	axle	axle bearings
alirometod	unclassified	no-directional-signal;zipf=0.00	tail	0.00	access	access method
amb	unclassified	no-directional-signal;zipf=0.00	core	0.00	oshiwambo	Oshiwambo, Oshivambo
anglaparolant	unclassified	no-directional-signal;zipf=0.00	tail	0.00	anglophone	Anglophone
antiartrit	unclassified	no-directional-signal;zipf=0.00	tail	0.00	antiarthritic	antiarthritic
arbsupr	unclassified	no-directional-signal;zipf=0.00	tail	0.00	top	top of a tree
astaked	unclassified	no-directional-signal;zipf=0.00	tail	0.00	astacidae	Astacidae
aŭbriet	unclassified	no-directional-signal;zipf=0.00	tail	0.00	aubretia	aubretia
bananplant	unclassified	no-directional-signal;zipf=0.00	tail	0.00	banana	banana tree
bazidiospor	unclassified	no-directional-signal;zipf=0.00	tail	0.00	basidiospore	basidiospore
