root	gloss_head	gloss_zipf	suggested_tier	inv_tier	prod	gloss
damn	damn	5.09	1	extended	2	damn
homoseksual	gay	4.9	2	core	3	gay, homosexual, queer
demokrat	democratic	4.73	2	extended	2	democratic
demokrati	democratic	4.73	2	core	4	democratic
respublik	republican	4.7	2	core	3	republican
detalkomerc	retail	4.55	2	extended	2	retail
karbon	carbon	4.55	2	extended	2	carbon
prezident	presidential	4.52	2	extended	2	presidential
profundaĝ	aged	4.5	2	extended	2	aged
travad	ford	4.5	2	core	3	to ford
cirkvit	circuit	4.47	2	extended	2	circuit
leŭtenant	lieutenant	4.44	2	core	3	lieutenant
mamsuĉ	suck	4.42	2	extended	2	to suck, suckle
suĉ	suck	4.42	2	core	4	to suck
kolonel	colonel	4.41	2	extended	2	colonel
rugbe	rugby	4.4	2	extended	2	rugby
terkultiv	agriculture	4.37	2	extended	2	agriculture
opinisond	poll	4.35	2	extended	2	to poll
virg	virgin	4.35	2	core	4	virgin, virginal
agrikultur	agricultural	4.34	2	extended	2	agricultural
agrokultur	agricultural	4.34	2	extended	2	agricultural
agronomi	agricultural	4.34	2	extended	2	agricultural
genetik	genetic	4.34	2	extended	2	genetic
flot	fleet	4.33	2	core	3	fleet
meĥanik	mechanical	4.33	2	core	3	mechanical
fakult	faculty	4.32	2	extended	2	faculty
filmitaĵ	footage	4.31	2	extended	2	footage
kolektiv	collective	4.3	2	core	5	collective, joint
petskrib	petition	4.3	2	extended	2	petition
ras	racial	4.3	2	core	3	racial
invalid	disabled	4.29	2	extended	2	disabled
dual	dual	4.28	2	core	3	dual
filtr	filter	4.28	2	core	4	to filter
aŭkci	auction	4.27	2	core	3	at auction
segment	segment	4.26	2	extended	2	to segment
alf	alpha	4.25	2	extended	2	alpha
ĥan	khan	4.25	2	core	4	khan
aŭtorrajt	copyright	4.24	2	extended	2	copyright
kopirajt	copyright	4.24	2	extended	2	copyright
mararme	naval	4.24	2	extended	2	naval
nobel	noble	4.24	2	core	6	noble
promoci	upgrade	4.24	2	core	5	upgrade
toks	toxic	4.24	2	core	3	toxic
grafik	graphic	4.23	2	core	5	graphic
nemilit	civilian	4.23	2	extended	2	civilian
ĉart	charter	4.23	2	core	4	to charter
amator	amateur	4.22	2	core	4	amateur
pensi	pension	4.22	2	core	5	to pension
imperi	imperial	4.21	2	core	6	imperial
bronz	bronze	4.2	2	core	3	bronze
eminent	distinguished	4.2	2	core	5	distinguished, eminent, prominent
kronik	chronic	4.2	2	extended	2	chronic, lingering
bok	ram	4.19	2	core	3	ram, vaulting-horse
cens	census	4.19	2	core	3	to census, inventory
tabak	tobacco	4.19	2	core	5	tobacco
ŝipŝarĝ	cargo	4.19	2	extended	2	ship’s cargo
animaci	animation	4.18	2	extended	2	animation
krad	grid	4.18	2	core	3	grid
parlament	parliamentary	4.18	2	core	3	parliamentary
patent	patent	4.18	2	core	3	patent
anonim	anonymous	4.17	2	core	3	anonymous, nameless
magenet	magnetic	4.17	2	extended	2	magnetic
propagand	propaganda	4.17	2	core	5	propaganda
ikon	icon	4.16	2	core	3	icon
ŝerif	sheriff	4.16	2	extended	2	sheriff
podkast	podcast	4.15	2	extended	2	podcast
korupt	corrupt	4.14	2	core	5	corrupt
tatu	tattoo	4.14	2	extended	2	to tattoo
breĉ	breach	4.13	2	core	4	to breach
kancelier	chancellor	4.13	2	core	3	chancellor
rektor	chancellor	4.13	2	extended	2	chancellor, rector (school)
feminist	feminist	4.12	2	extended	2	feminist
diplomat	diplomatic	4.11	2	extended	2	diplomatic
diplomati	diplomatic	4.11	2	extended	2	diplomatic
fig	fig	4.1	2	extended	2	fig
kapromp	fatal	4.1	2	extended	2	fatal
dumping	dump	4.08	2	extended	2	to dump
fabl	fabulous	4.08	2	extended	2	fabulous
provinc	provincial	4.08	2	core	3	provincial
provincial	provincial	4.08	2	extended	2	provincial
subtil	subtle	4.08	2	core	3	subtle
tragedi	tragic	4.08	2	core	3	tragic
tragik	tragic	4.08	2	extended	2	tragic
alianc	allied	4.07	2	core	5	allied
kvantum	quantum	4.07	2	extended	2	quantum
matric	matrix	4.07	2	extended	2	matrix
optik	optical	4.07	2	extended	2	optical
fibr	fiber	4.06	2	core	3	fiber
kompakt	compact	4.06	2	core	4	compact, dense
eliĝ	withdraw	4.05	2	extended	2	to withdraw
grafe	graph	4.05	2	core	3	graph
spam	spam	4.05	2	core	5	to spam
statik	static	4.05	2	extended	2	static
aŭtent	authentic	4.04	2	core	4	authentic
aŭtentik	authentic	4.04	2	core	3	authentic, genuine
ĉur	cum	4.04	2	extended	2	to cum, ejaculate
kapel	chapel	4.03	2	extended	2	chapel
trib	tribal	4.03	2	core	4	tribal
ego	ego	4.02	2	core	3	ego
estetik	aesthetic	4.02	2	extended	2	aesthetic
hidrarg	mercury	4.02	2	extended	2	mercury, quicksilver
pram	ferry	4.02	2	core	3	to ferry
orkestr	orchestra	4.01	2	core	5	orchestra
admiral	admiral	4.0	2	core	5	of an admiral, of an admiralty
akut	acute	4.0	2	core	3	acute, penetrating
civit	civic	4.0	2	extended	2	civic
eskort	escort	4.0	2	extended	2	to escort
sagac	acute	4.0	2	extended	2	acute, astute, shrewd, ingenious, shrewd
fosili	fossil	3.99	3	extended	2	fossil, fossilized
intertrakt	negotiate	3.99	3	core	4	to negotiate
karg	freight	3.99	3	core	3	to freight
vektor	vector	3.99	3	core	3	vector, vectorial
arkiv	archive	3.98	3	core	4	archive, record(s), file(s)
atom	atomic	3.98	3	core	8	atomic
forest	absent	3.98	3	core	3	absent
forestant	absent	3.98	3	core	4	absent
pogrand	wholesale	3.97	3	extended	2	wholesale
taktik	tactical	3.97	3	extended	2	tactical
antaŭprezent	preview	3.96	3	extended	2	to preview
antaŭrigard	preview	3.96	3	extended	2	preview
artileri	artillery	3.96	3	core	3	artillery, ordnance
arĥitektur	architectural	3.96	3	extended	2	architectural
infanteri	infantry	3.96	3	extended	2	infantry
kare	curry	3.96	3	extended	2	curry
tab	tab	3.96	3	core	6	tab, tab-delimited
vivipov	viable	3.96	3	extended	2	viable
absurd	absurd	3.95	3	core	3	absurd
brems	brake	3.95	3	core	5	to brake
ekzekuci	execute	3.95	3	extended	2	to execute
marĉand	bargain	3.95	3	core	3	to bargain, haggle
sekular	secular	3.95	3	core	6	secular
suveren	sovereign	3.95	3	extended	2	sovereign
vegan	vegan	3.95	3	extended	2	vegan
anal	anal	3.94	3	extended	2	anal
anus	anal	3.94	3	extended	2	anal
idol	idol	3.94	3	core	4	idol
linĉ	lynch	3.94	3	extended	2	to lynch
zombi	zombie	3.94	3	extended	2	zombie
akre	acre	3.93	3	core	3	acre
