root	bucket	covered_tiers	inv_tier	prod	gloss_head	gloss_zipf	suggested_tier	matched_word	gloss
a	covered_T1_3	2	tail	1		0.0			ow, ouch, oh
abak	obscure_root		tail	1	abacus	2.65			abacus, ball frame, counting frame, calculating frame, chart
abakteri	obscure_root		tail	1	abacterial	0.0			abacterial
abakti	obscure_root		tail	1	abactio	0.0			abactio
abandon	candidate_gap		extended	2	relinquish	3.12	3		to relinquish
abasid	obscure_root		tail	1	abbasid	0.0			Abbasid
abat	obscure_root		core	6	abbatial	0.0			abbatial
abatis	obscure_root		tail	1	barricade	0.0			barricade of trees or branches, abatis
abatland	obscure_root		tail	1	abbacy	1.32			abbacy
abazi	obscure_root		tail	1	abasic	0.0			abasic, abatic
abaĵur	obscure_root		tail	1	lampshade	2.27			lampshade
abces	obscure_root		tail	1	abscess	2.81			abscess
abderan	obscure_root		tail	1	fool	4.29			fool
abdik	covered_T1_3	2	core	4		0.0			abdication
abdomen	obscure_root		tail	1	abdominal	3.58			abdominal
abdukci	obscure_root		tail	1	abducent	0.0			abducent
abdukt	obscure_root		extended	2	abduct	2.74			to abduct
abduktor	obscure_root		tail	1	abductor	2.46			abductor
abek	obscure_root		tail	1	aback	2.99			aback
abel	covered_T1_3	1/2	core	6		0.0			Abel’s, Abelian, commutative (group); related to bees
abelbred	obscure_root		core	3	beekeeping	2.66			beekeeping
abeldom	obscure_root		tail	1	apiary	2.01			apiary
abeled	obscure_root		tail	1	apidae	0.0			Apidae
abelkest	obscure_root		tail	1		0.0			beehive (box-style)
abelkoloni	obscure_root		tail	1	bee	0.0			bee colony
abelkorb	obscure_root		tail	1		0.0			beehive (basket-style)
abelkultur	obscure_root		core	3	beekeeping	2.66			beekeeping
abelmanĝul	obscure_root		tail	1	bee-eater	0.0			bee-eater
abelreĝin	obscure_root		tail	1	queen	0.0			queen bee
abelsvarm	obscure_root		tail	1	swarm	0.0			swarm of bees
abelujoform	obscure_root		tail	1	beehive-shaped	0.0			beehive-shaped
