root	gloss_head	matched_covered_word	gloss_zipf	inv_tier	prod	gloss
fik	fuck	screw	5.39	extended	2	to fuck, screw
laŭliter	literally	letter	4.91	tail	1	literally, to the letter
bojminac	bay	bark	4.73	tail	1	to bay at, bark at
tirboj	bay	howl	4.73	tail	1	to bay, howl
konservospac	storage	space	4.57	tail	1	storage, storage space
ministroprezidant	premier	prime	4.56	tail	1	premier, prime minister
pomalgrand	retail	small	4.55	extended	2	at retail, in small quantities
elstar	outstanding	pronounced	4.5	core	4	outstanding, pronounced
grandaĝ	aged	elderly	4.5	extended	2	aged, elderly, grown-up, old, of great age
unversal	universal	world	4.49	tail	1	universal, world
relvoj	railway	railroad	4.46	tail	1	railway, railroad
konkret	concrete	abstract	4.44	core	5	concrete, not abstract, perceptible, real, positive
kuratak	assault	storm	4.44	tail	1	to assault, storm
ale	avenue	passage	4.43	extended	2	avenue, passage, way, (garden) walk, path, alley, boulevard
komik	comic	funny	4.42	core	3	comic, comical, funny, facetious, humorous, laughable, ludicrous, witty
kontor	bureau	office	4.41	extended	2	bureau, office (business)
rizvin	sake	rice	4.4	tail	1	sake, rice wine
laŭdir	alleged	so-called	4.37	tail	1	alleged, so-called
laŭrdir	alleged	according	4.37	tail	1	alleged, according to what people say
aren	arena	ring	4.33	tail	1	arena, (boxing) ring
komunehom	humanity	common	4.32	tail	1	of humanity, of mankind, common
armiltenej	arsenal	weapons	4.31	tail	1	arsenal, weapons storage
intelekt	intellectual	knowledge-based	4.3	core	5	intellectual, knowledge-based
montopint	summit	peak	4.3	tail	1	summit, mountaintop, peak
defaŭlt	default	standard	4.29	tail	1	default, standard
labormaltaŭg	disabled	work	4.29	tail	1	disabled, unfit for work
labornekapabl	disabled	work	4.29	tail	1	disabled, unfit for work
vehikl	carrier	vehicle	4.29	tail	1	carrier, vector, vehicle
basagitar	bass	guitar	4.28	tail	1	bass, bass guitar
perk	bass	perch	4.28	tail	1	bass, perch (fish)
frekvent	frequent	visit	4.27	core	3	to frequent, visit regularly, habitually visit
sinreg	composed	restrained	4.27	extended	2	composed, restrained, self-possessed
depon	deposit	bank	4.24	core	4	to deposit, dump, bank, file, lodge, store
enurb	municipal	urban	4.24	tail	1	municipal, urban
uzanc	usage	custom	4.23	tail	1	usage, custom
forviŝ	delete	wipe	4.22	tail	1	to delete, wipe away, erase
legitim	legitimate	legal	4.22	core	3	legitimate, legal
restaŭrkopi	backup	back-up	4.21	tail	1	backup, back-up copy, recovery file
bronzkolor	bronze	brown	4.2	tail	1	bronze, brown
sort	destiny	fate	4.19	tail	1	destiny, fate, fortune, luck, lot
intersekv	consecutive	successive	4.18	tail	1	consecutive, successive
konsult	advisory	consultative	4.18	core	4	advisory, consultative
metropoliten	metro	subway	4.18	tail	1	metro, subway
aŭtokton	indigenous	native	4.16	tail	1	indigenous, native, autochthonous
enirpag	admission	fee	4.15	tail	1	admission, admission fee
emfazosign	accent	mark	4.14	tail	1	accent, accent mark
parolmanier	accent	way	4.14	tail	1	accent, way of speaking, manner of speaking, speech
ambasad	embassy	mission	4.13	extended	2	embassy, diplomatic mission
ĵetdisk	disc	disk	4.13	tail	1	disc, discus, disk, Frisbee
histrion	ham	bad	4.12	tail	1	ham, bad actor, third-rate actor
limdat	deadline	date	4.12	tail	1	deadline, due date, expiration date
limtemp	deadline	time	4.12	extended	2	deadline, time limit
rapmuzik	rap	music	4.12	tail	1	rap, rap music
standard	banner	flag	4.12	core	3	banner, flag, standard
templim	deadline	term	4.12	extended	2	deadline, expiration (of time), term, time limit
brutal	brutal	violent	4.1	core	3	brutal, violent
interlig	ally	connect	4.1	tail	1	to ally, connect, join
lojal	faithful	loyal	4.1	core	4	faithful, loyal
luad	rental	renting	4.1	tail	1	rental, renting
prognoz	forecast	predict	4.09	extended	2	to forecast, predict
bred	breed	farm	4.08	core	3	to breed, farm, keep, raise, rear
insurekci	rebel	create	4.08	core	3	to rebel, create an insurrection
insurekt	rebel	create	4.08	tail	1	to rebel, create an insurrection
kors	broadway	mall	4.08	core	4	broadway, mall
alberg	inn	hotel	4.07	tail	1	inn, hotel
etanim	petty	small-minded	4.07	extended	2	petty, small-minded
etspirit	petty	small-minded	4.07	tail	1	petty, small-minded
kandidatlist	nomination	recommendation	4.07	tail	1	nomination, recommendation
multemov	animated	busy	4.07	tail	1	animated, busy, full of traffic
sakr	curse	swear	4.07	extended	2	to curse, cuss, swear
ellabor	elaborate	finish	4.06	core	4	to elaborate, finish, work out (in detail), treat at length, develop
prilabor	elaborate	process	4.06	core	3	to elaborate, process
signaldir	password	signal	4.06	tail	1	password, signal, watchword
plifirmig	strengthen	reinforce	4.04	tail	1	to strengthen, reinforce, tighten
sodakv	soda	water	4.04	tail	1	soda, soda water
aksisoid	axis	deer	4.02	tail	1	axis, axis deer
mezlini	axis	deer	4.02	tail	1	axis, axis deer
ŝpur	gauge	wheel-span	4.02	tail	1	gauge, wheel-span, distance between rails
intertemp	interim	temporary	4.0	tail	1	interim, temporary
plorplend	drone	whine	4.0	tail	1	to drone, whine
alig	affiliate	join	3.99	tail	1	to affiliate, join
anig	affiliate	include	3.99	tail	1	to affiliate, include, make part of a group
katedr	cathedral	chair	3.99	tail	1	cathedral, professorial chair or platform, pulpit, lecturer’s desk, professorship
arĥiv	archive	files	3.98	core	3	archive, archives, files, records
persvad	compelling	convincing	3.98	tail	1	compelling, convincing, persuasive
ambr	amber	grey	3.97	tail	1	amber, ambergris, grey amber
interkontraŭ	clash	mutually	3.97	tail	1	to clash, mutually interfere
mandat	mandate	order	3.97	extended	2	mandate, order (postal, money)
banurb	spa	town	3.96	tail	1	spa, town known for its mineral baths, springs
dam	dame	queen	3.96	core	3	dame, queen, king, lady
kuraclok	spa	health	3.96	tail	1	spa, health resort
duop	binary	double	3.95	tail	1	binary, double, dual, duplex
hejmoland	homeland	mother	3.95	tail	1	homeland, mother country, native land
motorfiakr	cab	taxi	3.95	tail	1	cab, taxi
alteprez	costly	expensive	3.93	tail	1	costly, expensive
altvalor	costly	valuable	3.93	extended	2	costly, valuable, precious, expensive, of great value
grandvalor	costly	valuable	3.93	tail	1	costly, valuable
reglament	regiment	regulate	3.93	tail	1	to regiment, regulate
korinklin	affection	fondness	3.92	tail	1	affection, fondness
alglu	paste	post	3.91	tail	1	to paste, paste up, placard, post, post up
aliland	exotic	foreign	3.91	core	3	exotic, foreign
naskurb	hometown	city	3.91	tail	1	hometown, city in which one was born
estim	esteem	think	3.9	core	12	to esteem, think well of, have esteem for, respect, regard
fust	shaft	stock	3.9	tail	1	shaft, stock
horizontal	horizontal	level	3.9	tail	1	horizontal, level
ostaĝ	hostage	held	3.9	extended	2	to be a hostage, be held hostage
prirespond	accountable	responsible	3.9	extended	2	accountable, responsible
retfoliumil	browser	web	3.89	tail	1	browser, web browser
vivhistori	biography	life	3.89	tail	1	biography, life history
bataltaĉment	militia	armed	3.88	tail	1	militia, armed group, gang of henchmen, thugs
bombflugil	bomber	plane	3.88	tail	1	bomber, bomber plane
interven	interfere	intervene	3.88	tail	1	to interfere, intervene
kaplini	header	headline	3.88	tail	1	header, headline
klaĉ	gossip	small	3.88	core	5	to gossip, prate, make small talk, prattle
partigvardi	militia	armed	3.88	tail	1	militia, armed group, gang of henchmen, thugs
ellacig	fatigue	tire	3.86	tail	1	to fatigue, jade, overdrive, override, tire out
gvidlibr	handbook	guide	3.86	tail	1	handbook, guide, guidebook
benzin	gasoline	gas	3.85	core	3	gasoline, gas
seksinvit	proposition	invitation	3.85	tail	1	proposition, invitation to have sex
hazard	accidental	chance	3.82	core	4	accidental, adventitious, chance, random, rash, hazardous
trum	pier	wall	3.82	tail	1	pier, pier-glass, wall between openings
dispon	absorb	disposal	3.81	core	7	to absorb, have at one’s disposal, dispose (of), have available
postrest	detained	kept	3.81	core	5	to be detained, be kept in, stay on, remain
alfront	confront	face	3.8	core	3	to confront, face
infanĝarden	kindergarten	school	3.79	tail	1	kindergarten, nursery school
provtemp	probation	trial	3.79	tail	1	probation, trial period
bankposedant	banker	bank	3.78	tail	1	banker, bank manager
bufr	buffer	bump	3.78	extended	2	to buffer, bump into
enland	aboriginal	domestic	3.78	core	3	aboriginal, domestic, indigenous, native
enpik	stab	sting	3.78	tail	1	to stab, sting, puncture
origin	aboriginal	original	3.78	tail	1	aboriginal, original
laŭvort	literal	word-for-word	3.77	tail	1	literal, word-for-word
sufiĉeg	abundant	plenty	3.77	tail	1	abundant, redundant, profuse, plenty, ample
eksped	dispatch	send	3.76	core	4	to dispatch, send off, ship, expedite, forward, dispatch
kamecipar	cedar	false	3.76	tail	1	cedar, false cypress
stanfoli	foil	silver	3.76	tail	1	foil, silver paper, tinfoil
bind	bind	link	3.75	core	7	to bind, link (a program)
buĉ	butcher	kill	3.75	core	5	to butcher, slaughter, kill (animals)
ekranprintaĵ	screenshot	screen	3.75	tail	1	screenshot, screen dump
faskig	bind	bunch	3.75	core	3	to bind, bunch
rajp	bind	seize	3.75	tail	1	to bind, seize (up)
insolent	arrogant	proud	3.74	tail	1	arrogant, haughty, proud, insolent, overbearing, supercilious
orgojl	arrogant	proud	3.74	tail	1	arrogant, proud, vain
pugnoluktist	boxer	fighter	3.74	tail	1	boxer, fighter
roj	brook	stream	3.74	extended	2	brook, stream
analog	analog	analogous	3.73	core	3	analog, analogous
kapsik	chili	pepper	3.73	extended	2	chili, pepper
postiĝint	retarded	backward	3.73	tail	1	retarded, backward
duflank	bilateral	two-sided	3.72	tail	1	bilateral, two-sided, double-sided
maket	miniature	scale	3.72	tail	1	miniature, scale model
nesan	unhealthy	healthy	3.72	tail	1	unhealthy, not healthy
staj	brace	guy	3.72	tail	1	brace, cramp-iron, guy, stay
steg	brace	support	3.72	tail	1	brace, prop, support
ĉiopov	almighty	all-powerful	3.72	extended	2	almighty, all-powerful, omnipotent
idar	descendants	issue	3.71	tail	1	descendants, issue, offspring, posterity, progeny, young
pohor	hourly	hour	3.71	tail	1	hourly, by the hour, in hourly increments
propramov	spontaneous	voluntary	3.71	tail	1	spontaneous, voluntary
delegit	delegate	local	3.7	core	4	delegate, local representative
deputit	delegate	representative	3.7	extended	2	delegate, deputy, representative
disertaci	dissertation	thesis	3.7	tail	1	dissertation, thesis
enoficig	appoint	commission	3.7	tail	1	to appoint, inaugurate, commission
insult	insulting	offensive	3.7	core	8	insulting, offensive, opprobrious
kapsul	capsule	firing	3.7	tail	1	capsule, firing cap
korflor	trousers	flower	3.7	tail	1	man’s trousers, lyre flower, old-fashioned bleeding heart
krust	crust	hard	3.7	extended	2	crust, deposit, hard outer covering, rind, scab, casing, scale
kvarc	quartz	rock-crystal	3.7	tail	1	quartz, rock-crystal
orakol	oracle	revelation	3.7	tail	1	oracle, revelation
terpomflok	crisp	potato	3.7	tail	1	crisp, potato chip
ĉips	crisp	potato	3.7	tail	1	crisp, potato chip
eventual	contingent	eventual	3.69	core	3	contingent, eventual
elaĉetsum	ransom	money	3.68	tail	1	ransom, redemption money
estafet	courier	racer	3.68	tail	1	courier, dispatch-rider, relay, relay racer, relay rider, runner
pikstang	pike	spear	3.68	tail	1	pike, spear
pimp	chic	smart	3.68	tail	1	chic, smart
social	communal	social	3.68	core	4	communal, social
stafet	courier	rider	3.68	tail	1	courier, dispatch rider, relay racer, relay rider, messenger
biergist	yeast	beer	3.67	tail	1	brewer’s yeast, beer yeast
bunkr	bunker	shelter	3.67	tail	1	bunker, shelter
desapont	disappoint	set	3.67	tail	1	to disappoint, disabuse, set straight
forvojaĝ	depart	leave	3.67	tail	1	to depart, leave, set out
kazern	barracks	quarters	3.67	tail	1	barracks, soldiers’ quarters
partitur	partition	score	3.67	tail	1	partition, score (musical)
vand	partition	wall	3.67	tail	1	partition, wall
lepor	hare	rabbit	3.66	tail	1	hare, rabbit
plifruig	accelerate	advance	3.66	tail	1	to accelerate, advance
plirapid	accelerate	speed	3.66	tail	1	to accelerate, speed up
plirapidig	accelerate	advance	3.66	extended	2	to accelerate, advance
portemp	provisional	temporary	3.66	tail	1	provisional, temporary
poŭp	poop	stern	3.66	tail	1	poop, poop deck, stern
sangalflu	congestion	rush	3.66	tail	1	congestion, rush
rubus	blackberry	bush	3.65	extended	2	blackberry, blackberry bush, bramble
savmon	salvage	money	3.65	tail	1	salvage, salvage money
akcesor	accessory	secondary	3.63	extended	2	accessory, secondary
neĉef	accessory	minor	3.63	tail	1	accessory, auxiliary, minor
podi	podium	platform	3.63	tail	1	podium, platform, stage; live
teksbaz	warp	theme	3.63	tail	1	warp, groundwork, theme, structure
telekopi	fax	wire	3.63	extended	2	by fax, by wire
tribun	podium	platform	3.63	tail	1	podium, rostrum, speaker’s platform, pulpit, tribune
ĝir	endorse	transfer	3.63	core	5	to endorse, transfer
ĝisrandig	align	justify	3.63	tail	1	to align, justify
forn	furnace	oven	3.62	core	3	furnace, kiln, oven, stove
kapacit	bandwidth	capacity	3.62	tail	1	bandwidth, capacity
neinteligent	dim	unintelligent	3.62	tail	1	dim, obtuse, unintelligent
poŝlibr	paperback	pocket	3.62	tail	1	paperback, pocket book
