sublist	family_head	action	eo_root	eo_word	eo_gloss	flag	head_pos	head_in_lexicon	n_forms	n_new	n_present	forms_new	forms_present	component_roots	alt_candidates	proposed_tier	cefr	decision	notes
1	analyse	LINK	analiz	analizi	to analyze, assay, construe, parse	ok	VERB	no	12	10	2	analyse:VERB;analysed:VERB;analyser:NOUN;analysing:VERB;analyst:NOUN;analytic:ADJ;analytical:ADJ;analytically:ADV;analyzed:VERB;analyzing:VERB	analysis(2);analyze(2)		dismembrigi	3	C1		anchored via US spelling (analyse→analyze)
1	approach	LINK	alir	aliri	to advance, approach, come on, access (database, disk)	ok	NOUN	2	6	5	1	approachable:ADJ;approached:VERB;approaches:NOUN;approaching:VERB;unapproachable:ADJ	approach(2)		alflugi, alirejo, aliro, alpaŝi, alpaŝo	3	C1		head already in lexicon (tier 2); multiple EO senses — verify anchor
1	area	LINK	are	areo	area, selection, region	ok	NOUN	1	2	1	1	areas:NOUN	area(1)		areaĵo, arealo, zono	3	C1		head already in lexicon (tier 1); multiple EO senses — verify anchor
1	assess	LINK	taks	taksi	to appraise, estimate, rate, assess, tax, value, evaluate	ok	VERB	2	12	10	2	assessable:ADJ;assessed:VERB;assesses:VERB;assessing:VERB;assessments:NOUN;reassess:NOUN;reassessed:VERB;reassessing:VERB;reassessment:NOUN;unassessed:ADJ	assess(2);assessment(2)		ekspertizi, imposti	3	C1		head already in lexicon (tier 2)
1	assume	LINK	supoz	supozi	to assume, guess, presume, suppose, surmise	ok	VERB	2	6	5	1	assumed:VERB;assumes:VERB;assuming:VERB;assumption:NOUN;assumptions:NOUN	assume(2)		alpreni, premisi	3	C1		head already in lexicon (tier 2)
1	authority	LINK	rajt	rajto	entitlement, right, authority	ok	NOUN	2	3	2	1	authoritative:ADJ;authorities:NOUN	authority(2)		aŭtoritateco, aŭtoritato, estraro, estreco, instanco	3	C1		head already in lexicon (tier 2); multiple EO senses — verify anchor
1	available	LINK	havebl	havebla	available	ok	ADJ	2	3	2	1	availability:NOUN;unavailable:ADJ	available(2)		disponata, disponebla, havigebla, ricevebla	3	C1		head already in lexicon (tier 2); multiple EO senses — verify anchor
1	benefit	LINK	gajn	gajno	benefit, gain, profit, boon	ok	NOUN	2	7	5	2	beneficiaries:NOUN;beneficiary:NOUN;benefited:VERB;benefiting:VERB;benefits:NOUN	benefit(2);beneficial(2)		avantaĝo, bonfari, helpmono, profitigi, profito	3	C1		head already in lexicon (tier 2); multiple EO senses — verify anchor
1	concept	LINK	noci	nocio	notion, concept	ok	NOUN	2	10	9	1	conception:NOUN;concepts:NOUN;conceptual:ADJ;conceptualisation:NOUN;conceptualise:VERB;conceptualised:VERB;conceptualises:NOUN;conceptualising:VERB;conceptually:ADV	concept(2)		koncepto	3	C1		head already in lexicon (tier 2)
1	consist	LINK	konsist	konsisti	to consist	ok	NOUN	2	10	8	2	consisted:VERB;consistency:NOUN;consistently:ADV;consisting:VERB;consists:VERB;inconsistencies:NOUN;inconsistency:NOUN;inconsistent:NOUN	consist(2);consistent(2)			3	C1		head already in lexicon (tier 2)
1	constitute	NEW	konstitu	konstitui	to account for, constitute, make up	ok	VERB	no	14	14	0	constitute:VERB;constituencies:NOUN;constituency:NOUN;constituent:NOUN;constituents:NOUN;constituted:VERB;constitutes:VERB;constituting:VERB;constitution:NOUN;constitutional:ADJ;constitutionally:ADV;constitutions:NOUN;constitutive:ADJ;unconstitutional:ADJ			konsistigi	3	C1		
1	context	LINK	kadraĵ	kadraĵo	box, cadre, context, frame, framework, level, official, parameters	ok	NOUN	2	11	10	1	contexts:VERB;contextual:ADJ;contextualise:VERB;contextualised:VERB;contextualising:NOUN;contextualize:VERB;contextualized:VERB;contextualizing:NOUN;uncontextualised:ADJ;uncontextualized:ADJ	context(2)		ĉirkaŭteksto, konteksto, kunteksto, situacio	3	C1		head already in lexicon (tier 2); multiple EO senses — verify anchor
1	contract	LINK	kontrakt	kontrakto	agreement, compact, contract, treaty, deal, pact, covenant, pact	ok	NOUN	2	6	5	1	contracted:VERB;contracting:NOUN;contractor:NOUN;contractors:NOUN;contracts:NOUN	contract(2)		konstruigi, kuntiriĝi, malakordi, malvastiĝi	3	C1		head already in lexicon (tier 2); multiple EO senses — verify anchor
1	create	LINK	kre	krei	to compose, create, produce, make	ok	VERB	1	15	11	4	created:VERB;creates:VERB;creating:VERB;creations:NOUN;creatively:ADV;creator:NOUN;creators:NOUN;recreate:NOUN;recreated:VERB;recreates:NOUN;recreating:VERB	create(1);creation(2);creative(2);creativity(2)		estigi, farigi, verki	3	C1		head already in lexicon (tier 1); multiple EO senses — verify anchor
