sublist	family_head	decision	corrected_eo_word	note	action	current_eo_word	eo_gloss	flag
2	administrate	fix	administri	to administer/manage [ESPDIC]				no_match
3	constrain	fix	limigi	constrain/limit=limigi				no_match
7	dynamic	fix	dinamika	decomposer split din+amik was wrong; dynamic=dinamika	NEW	dinamika	dynamic	compound
5	enforce	fix	devigi	enforce=devigi (compel/apply)	LINK			no_match
3	ensure	fix	certigi	ensure=certigi (make certain)	LINK			no_match
10	forthcoming	fix	venonta	forthcoming/upcoming=venonta				no_match
4	hence	fix	sekve	connective 'hence'=sekve (adv) — prime T3 connective			from here, hence	no_match
6	incidence	fix	incidenco	incidence=incidenco (or ofteco=frequency)				no_match
7	innovate	fix	novigi	innovate=novigi (or inovacii)				no_match
10	nonetheless	fix	tamen	nonetheless=tamen — T3 connective				no_match
10	ongoing	fix	daŭra	ongoing=daŭra (continuing)				no_match
9	qualitative	fix	kvalita	kvalit+a; well-formed				no_match
8	thereby	fix	tiel	thereby=tiel / per tio — T3 connective			thereby	no_match
8	via	fix	per	via=per/tra; NB Esperanto 'via'='your' — do NOT use it	LINK			no_match
10	whereby	fix	per kio	whereby=per kio — T3 connective			whereby	no_match
8	abandon	approve			LINK	delasi	to abandon	ok
6	abstract	approve			NEW	deteni	to abstract, restrain, detain, hold	ok
5	academy	approve			LINK	akademio	academy	ok
4	access	approve			LINK	aliro	access, approach	ok
9	accommodate	approve			LINK	cedi	to cede, give in, yield, comply, concede, grant, accommodate	ok
8	accompany	approve			LINK	kunludi	to accompany	ok
8	accumulate	approve			NEW	akumuli	to accumulate, heap, pile up, stack, hoard	ok
6	accurate	approve			LINK	fidela	accurate, exact, faithful, loyal, staunch, trusty, trustworthy	ok
2	achieve	approve			LINK	fari	to achieve, act, do, make, perform, build	ok
6	acknowledge	approve			LINK	agnoski	to acknowledge, recognize (as official)	ok
2	acquire	approve			LINK	akiri	to achieve, acquire, attain, get, obtain	ok
7	adapt	approve			LINK	adapti	to accommodate, adapt, adjust, attune, fix, fit, mount, place, tune	ok
4	adequate	approve			LINK	sufiĉa	adequate, ample, enough, sufficient	ok
10	adjacent	approve			LINK	apuda	adjacent, adjoining, contiguous, next to, neighboring	ok
5	adjust	approve			LINK	pondi	to adjust	ok
7	adult	approve			LINK	adolto	adult	ok
7	advocate	approve			LINK	proponi	to propose, offer, advocate, suggest	ok
2	affect	approve			LINK	emocii	to affect, move, stir	ok
6	aggregate	approve			LINK	suma	aggregate	ok
7	aid	approve			LINK	helpi	to accommodate, aid, assist, help	ok
10	albeit	approve			LINK	kvankam	albeit, though, although, while	ok
6	allocate	approve			LINK	okupi	to occupy, employ, engage, allocate	ok
5	alter	approve			LINK	aliigi	to alter, change, turn, modify, transform (sth into sth)	ok
