filename,stratum,total_tokens,t1_count,t2_count,t3_count,t4_count,unknown_count,n_sentences,t4_ratio,common_ratio,distinct_t4,t4_variety,cooccur_pairs,cooccur_density,multi_concept_ratio,t3_anchor_density,t3_anchor_rate,unknown_tokens
control_01.txt,control,199,74,89,4,2,30,16,0.0123,0.8191,0,0.0,0,0.0,0.0,0.1875,0.75,"[""airtight"", ""baked"", ""baking"", ""celsius"", ""centre"", ""centres"", ""chewy"", ""cookies"", ""crisp"", ""deepens"", ""dense"", ""flavour"", ""fluffy"", ""granulated"", ""overmix"", ""parchment"", ""preheat"", ""rounded"", ""semisweet"", ""soda"", ""softened"", ""stratum"", ""tablespoons"", ""underbaked"", ""unsalted"", ""vocabulary""]"
control_02.txt,control,200,64,92,5,1,38,17,0.0064,0.78,0,0.0,0,0.0,0.0,0.2353,0.8,"[""athletic"", ""brookfield"", ""capitalising"", ""comeback"", ""crossbar"", ""daniel"", ""defence"", ""defensive"", ""deflection"", ""dense"", ""equaliser"", ""formation"", ""frantic"", ""goalkeeper"", ""header"", ""hillcrest"", ""journalism"", ""midfield"", ""momentum"", ""okoro"", ""penalty"", ""playoff"", ""scoring"", ""seals"", ""slotted"", ""staged"", ""stoppage"", ""stratum"", ""striker"", ""touchline"", ""vocabulary"", ""volley"", ""winger""]"
control_03.txt,control,227,78,93,10,2,44,14,0.0117,0.7533,0,0.0,0,0.0,0.0,0.2857,0.4,"[""adopters"", ""animation"", ""brightness"", ""closing"", ""comfortably"", ""crease"", ""dense"", ""developers"", ""durability"", ""ecosystem"", ""enthusiasts"", ""extended"", ""foldable"", ""foldables"", ""gaming"", ""handset"", ""handsets"", ""hinge"", ""improved"", ""journalism"", ""layouts"", ""manufacturer"", ""niche"", ""premium"", ""processor"", ""prone"", ""rating"", ""redesigned"", ""resistance"", ""reviewers"", ""scrolling"", ""sized"", ""smoother"", ""stratum"", ""suited"", ""tech"", ""unveiled"", ""vocabulary""]"
control_04.txt,control,195,98,74,3,2,18,14,0.0116,0.8821,0,0.0,0,0.0,0.0,0.2143,1.0,"[""alleys"", ""casual"", ""ceramics"", ""checklist"", ""cobbled"", ""flaky"", ""greeting"", ""landlady"", ""lane"", ""pavement"", ""retreated"", ""shutter"", ""stratum"", ""terrace"", ""unhurried"", ""vocabulary"", ""worn""]"
control_05.txt,control,226,87,96,8,7,28,19,0.0383,0.8097,0,0.0,0,0.0,0.0,0.3158,0.75,"[""balcony"", ""beginners"", ""centimetres"", ""coloured"", ""compacts"", ""containers"", ""drainage"", ""evenly"", ""fertiliser"", ""ideally"", ""instructional"", ""joints"", ""kilograms"", ""loosely"", ""moist"", ""planting"", ""poorly"", ""productive"", ""seedling"", ""stake"", ""stratum"", ""unchecked"", ""watering"", ""waterlogged""]"
expert_01.txt,expert,1121,185,522,96,131,187,99,0.1853,0.6307,0,0.0,54,0.5455,0.4853,0.6263,0.6458,"[""25a"", ""accepted"", ""accord"", ""africa"", ""african"", ""align"", ""annex"", ""anti"", ""ascertained"", ""asian"", ""australia"", ""authorises"", ""backdrop"", ""backwardness"", ""bangladesh"", ""calculations"", ""canada"", ""cater"", ""cif"", ""cif1"", ""co"", ""collector"", ""competent"", ""compliance"", ""compliant"", ""confidential"", ""consignment"", ""critically"", ""cumbersome"", ""dearth"", ""declaration"", ""defective"", ""delineating"", ""developed"", ""directives"", ""dsb"", ""dumping"", ""enquiries"", ""envisaged"", ""envisages"", ""equitable"", ""european"", ""existent"", ""fictitious"", ""fixation"", ""fob"", ""fob2"", ""freight"", ""gaap"", ""harmonising"", ""harmonizing"", ""hereinafter"", ""honour"", ""iii"", ""incoterms"", ""india"", ""insubstantial"", ""invoice"", ""invoicing"", ""lodge"", ""members"", ""myanmar"", ""non"", ""obligatory"", ""outlaws"", ""pakistan"", ""partial"", ""pca"", ""peculiarities"", ""penalty"", ""preclude"", ""premise"", ""prescribed"", ""prescribes"", ""prevails"", ""prevalent"", ""publicised"", ""quantifiable"", ""requisite"", ""rescinded"", ""ruling"", ""rulings"", ""settlement"", ""simplifying"", ""socio"", ""standardising"", ""stark"", ""states"", ""stipulates"", ""strictly"", ""sub"", ""surveillance"", ""tariff"", ""tariffs"", ""taxes"", ""thwarting"", ""trader"", ""traders"", ""transposed"", ""treaty"", ""undocumented"", ""valuation"", ""vii"", ""wto"", ""®""]"
expert_02.txt,expert,1044,188,474,70,131,181,65,0.1979,0.6341,0,0.0,67,1.0308,0.6735,0.8923,0.8286,"[""144(1"", ""144(2"", ""71(1)(e"", ""74(3"", ""agricultural"", ""agriculture"", ""articles"", ""calculations"", ""catalysers"", ""cif"", ""circular"", ""circulation"", ""comparable"", ""compendium"", ""concrete"", ""confidentiality"", ""consignment"", ""contractual"", ""deducting"", ""deductive"", ""e.g."", ""eu"", ""eur"", ""fertiliser"", ""fertilisers"", ""fulfilled"", ""gatt"", ""handling"", ""hazardous"", ""i.e."", ""ia"", ""identical/"", ""impurities"", ""loading"", ""materials/"", ""ms"", ""narrowly"", ""operating"", ""recalculate"", ""recipients"", ""regardless"", ""renewed"", ""resale"", ""reseller"", ""reused"", ""sake"", ""sawdust"", ""separation"", ""starting"", ""storage"", ""taxes"", ""territory"", ""tonne"", ""ucc"", ""unrelated"", ""valuation"", ""verification"", ""vii"", ""wto"", ""x"", ""x."", ""y"", ""y."", ""z"", ""z.""]"
expert_03.txt,expert,1428,315,555,104,133,321,139,0.1529,0.6092,0,0.0,44,0.3165,0.3452,0.554,0.7404,"[""3(a"", ""3ʳᵈ"", ""48(1"", ""accountant"", ""accountants"", ""actively"", ""aduaneiras"", ""adó-"", ""affiliated"", ""aha"", ""america"", ""andean"", ""appeals"", ""argumentation"", ""asia"", ""backing"", ""barbosa"", ""benchmarks"", ""biding"", ""bielskiene"", ""boi"", ""bois"", ""branches"", ""brazil"", ""brazilian"", ""brexit"", ""btis"", ""bukowski"", ""bulgaria"", ""bulgarian"", ""bvi"", ""bvis"", ""canada"", ""canadian"", ""ccrm"", ""chartered"", ""china"", ""cif"", ""circuit"", ""cjeu"", ""co"", ""colombia"", ""colombian"", ""competence"", ""conditional"", ""cons"", ""cookware"", ""correctness"", ""correlate"", ""counsel"", ""counterparties"", ""crowell"", ""cursos"", ""customsclear"", ""d'avocats"", ""david"", ""davidson"", ""ddp"", ""declaration"", ""delivered"", ""demanding"", ""dereviankine"", ""developed"", ""doctrine"", ""dr."", ""dunántúli"", ""dutiable"", ""e"", ""e.g."", ""eduardo"", ""enrika"", ""eu"", ""eur"", ""europe"", ""european"", ""evguenia"", ""exceptional"", ""factual"", ""favour"", ""firstly"", ""france"", ""french"", ""főigazgatósága"", ""gatt"", ""georgi"", ""goranov"", ""harley"", ""hfs"", ""horgan"", ""hungary"", ""i.e."", ""icc"", ""ilona"", ""ils"", ""incidental"", ""incisive"", ""incoterms"", ""ireland"", ""ironic"", ""israel"", ""israeli"", ""jointly"", ""jonas"", ""juan"", ""judgement"", ""jurisdictions"", ""kft"", ""korean"", ""l."", ""legitimate"", ""leite"", ""lithuania"", ""lithuanian"", ""ltd"", ""manufacturer"", ""manufacturers"", ""maritime"", ""mayer"", ""meyer"", ""mishchenko"", ""mitchell"", ""monika"", ""moring"", ""naujoke"", ""nemzeti"", ""neville"", ""non"", ""nyugat"", ""odessa"", ""oecd"", ""omer"", ""paid"", ""paradigmes"", ""particularities"", ""pendulum"", ""peter"", ""prices"", ""problematic"", ""problems"", ""provisional"", ""pwc"", ""pénzügyőri"", ""questionable"", ""reconsider"", ""regionális"", ""remanded"", ""representation"", ""retroactive"", ""revoked"", ""royalties"", ""ruling"", ""rulings"", ""sakalauskas"", ""secondly"", ""shipment"", ""simplified"", ""ss"", ""standards"", ""states"", ""statute"", ""symposiums"", ""tariffs"", ""taxation"", ""taxes"", ""territory"", ""thirdly"", ""treaty"", ""treinamentos"", ""u.s."", ""uk"", ""ukraine"", ""underestimation"", ""undervaluation"", ""undervaluations"", ""unitax"", ""unlimited"", ""unreasonably"", ""upcoming"", ""upheld"", ""usa"", ""v"", ""v."", ""vacated"", ""valuation"", ""vs"", ""vs."", ""vám-"", ""vámhivatal"", ""wagner"", ""webinar"", ""weronika"", ""zandra"", ""és"", ""с-291/15""]"
expert_04.txt,expert,361,80,155,17,7,102,32,0.0298,0.651,0,0.0,1,0.0312,0.1667,0.0938,0.1765,"[""agreements"", ""and/"", ""annex"", ""avail"", ""bakers"", ""brexit"", ""british"", ""canada"", ""canadian"", ""ceta"", ""circulation"", ""comparatively"", ""continental"", ""counterpart"", ""counterparts"", ""cumulation"", ""diagonal"", ""dispatched"", ""efficiencies"", ""efficiently"", ""eu"", ""eu/"", ""europe"", ""frictionless"", ""heading"", ""hitherto"", ""hs"", ""independence"", ""inefficient"", ""ireland"", ""irish"", ""manufacture"", ""neighbouring"", ""non"", ""orig"", ""originating"", ""preferential"", ""protein"", ""recalibration"", ""roo"", ""tariff"", ""tca"", ""tolerance"", ""traders"", ""uk"", ""uncompetitive"", ""unwelcome"", ""vulnerabilities"", ""wholly"", ""wrangling""]"
expert_05.txt,expert,1282,180,588,125,145,244,58,0.1888,0.5991,0,0.0,103,1.7759,0.7708,1.8966,0.88,"[""a-261"", ""a-352"", ""a-377"", ""accession"", ""acknowledgment"", ""admissibility"", ""admissible"", ""ambiguously"", ""anti"", ""articles"", ""authenticity"", ""beemsterboer"", ""broadly"", ""c-12/92"", ""c-21/13"", ""c-293/04"", ""c-416/15"", ""c-438/11"", ""categorical"", ""certificate"", ""certificates"", ""certify"", ""china"", ""chinese"", ""cjeu"", ""co."", ""coldstore"", ""complicates"", ""concessions"", ""consolidated"", ""declaration"", ""declarations"", ""differ"", ""distinguishes"", ""dumping"", ""e."", ""ea-304"", ""ea1671"", ""edmond"", ""essentially"", ""eu"", ""european"", ""evers"", ""expressly"", ""fasteners"", ""favour"", ""favourable"", ""firstly"", ""g."", ""huygen"", ""i."", ""invoice"", ""invoices"", ""lading"", ""lagura"", ""lawful"", ""liable"", ""lithuania"", ""lithuanian"", ""non"", ""olaf"", ""originating"", ""p."", ""para"", ""peculiarities"", ""preferential"", ""problematic"", ""proving"", ""reasoning"", ""republic"", ""românia"", ""sanctions"", ""secondly"", ""selena"", ""services"", ""simon"", ""states"", ""substantial"", ""substantially"", ""substantiate"", ""substantiates"", ""supreme"", ""taipei"", ""taiwan"", ""tariff"", ""tariffs"", ""taxation"", ""taxpayer"", ""territory"", ""thailand"", ""trader"", ""traders"", ""ucc"", ""verified"", ""vermögensverwaltung"", ""vs."", ""wholly"", ""withheld"", ""wrongly""]"
