filename,stratum,total_tokens,t1_count,t2_count,t3_count,t4_count,unknown_count,n_sentences,t4_ratio,common_ratio,distinct_t4,t4_variety,cooccur_pairs,cooccur_density,multi_concept_ratio,t3_anchor_density,t3_anchor_rate,unknown_tokens
control_01.txt,control,199,74,89,1,2,33,16,0.0123,0.8191,0,0.0,0,0.0,0.0,0.0625,1.0,"[""airtight"", ""baked"", ""baking"", ""celsius"", ""centre"", ""centres"", ""chewy"", ""cookies"", ""crisp"", ""deepens"", ""dense"", ""domain"", ""extract"", ""flavour"", ""fluffy"", ""granulated"", ""overmix"", ""parchment"", ""preheat"", ""rounded"", ""semisweet"", ""soda"", ""softened"", ""stratum"", ""tablespoons"", ""underbaked"", ""unsalted"", ""vocabulary""]"
control_02.txt,control,200,64,92,1,1,42,17,0.0064,0.78,0,0.0,0,0.0,0.0,0.0588,1.0,"[""athletic"", ""brookfield"", ""capitalising"", ""comeback"", ""crossbar"", ""daniel"", ""defence"", ""defensive"", ""deflection"", ""dense"", ""domain"", ""equaliser"", ""formation"", ""frantic"", ""goalkeeper"", ""header"", ""hillcrest"", ""interval"", ""journalism"", ""midfield"", ""momentum"", ""okoro"", ""penalty"", ""playoff"", ""scoring"", ""seals"", ""slotted"", ""staged"", ""stoppage"", ""stratum"", ""striker"", ""substitute"", ""touchline"", ""vocabulary"", ""volley"", ""winger""]"
control_03.txt,control,227,78,93,3,2,51,14,0.0117,0.7533,0,0.0,0,0.0,0.0,0.0714,0.3333,"[""adopters"", ""analysts"", ""animation"", ""brightness"", ""closing"", ""comfortably"", ""compatibility"", ""crease"", ""dense"", ""developers"", ""domain"", ""durability"", ""ecosystem"", ""editing"", ""enthusiasts"", ""extended"", ""foldable"", ""foldables"", ""gaming"", ""handset"", ""handsets"", ""hinge"", ""improved"", ""journalism"", ""layouts"", ""manufacturer"", ""niche"", ""premium"", ""processor"", ""prone"", ""rating"", ""ratio"", ""redesigned"", ""resistance"", ""reviewers"", ""scrolling"", ""sized"", ""smoother"", ""stratum"", ""suited"", ""tech"", ""unveiled"", ""visible"", ""vocabulary""]"
control_04.txt,control,195,98,74,1,2,20,14,0.0116,0.8821,0,0.0,0,0.0,0.0,0.0714,1.0,"[""alleys"", ""casual"", ""ceramics"", ""checklist"", ""cobbled"", ""domain"", ""flaky"", ""greeting"", ""landlady"", ""lane"", ""overlap"", ""pavement"", ""retreated"", ""shutter"", ""stratum"", ""terrace"", ""unhurried"", ""vocabulary"", ""worn""]"
control_05.txt,control,226,87,96,1,7,35,19,0.0383,0.8097,0,0.0,0,0.0,0.0,0.0526,1.0,"[""balcony"", ""beginners"", ""centimetres"", ""coloured"", ""compacts"", ""containers"", ""domain"", ""drainage"", ""evenly"", ""fertiliser"", ""formulated"", ""ideally"", ""inconsistent"", ""instructional"", ""joints"", ""kilograms"", ""loosely"", ""mature"", ""moist"", ""parallels"", ""planting"", ""poorly"", ""procedural"", ""productive"", ""seedling"", ""stake"", ""stratum"", ""unchecked"", ""watering"", ""waterlogged""]"
expert_01.txt,expert,1121,185,522,39,131,244,99,0.1853,0.6307,0,0.0,54,0.5455,0.4853,0.2323,0.5897,"[""25a"", ""accepted"", ""accord"", ""accuracy"", ""adjustments"", ""africa"", ""african"", ""align"", ""analyses"", ""annex"", ""anti"", ""arbitrariness"", ""arbitrary"", ""ascertained"", ""asian"", ""australia"", ""authorises"", ""backdrop"", ""backwardness"", ""bangladesh"", ""calculations"", ""canada"", ""cater"", ""cif"", ""cif1"", ""co"", ""collector"", ""competent"", ""complement"", ""compliance"", ""compliant"", ""computed"", ""conferred"", ""confers"", ""confidential"", ""conforms"", ""consignment"", ""conversion"", ""critically"", ""cumbersome"", ""dearth"", ""declaration"", ""defective"", ""delineating"", ""developed"", ""differentiate"", ""directives"", ""discretion"", ""dsb"", ""dumping"", ""eliminate"", ""enquiries"", ""envisaged"", ""envisages"", ""equitable"", ""estimation"", ""european"", ""existent"", ""facilitate"", ""fictitious"", ""filing"", ""fixation"", ""fob"", ""fob2"", ""freight"", ""gaap"", ""harmonising"", ""harmonizing"", ""hereinafter"", ""honour"", ""iii"", ""implementation"", ""inadequate"", ""inconsistencies"", ""incorporated"", ""incoterms"", ""india"", ""insubstantial"", ""insufficient"", ""invoice"", ""invoicing"", ""levy"", ""likewise"", ""lodge"", ""members"", ""ministry"", ""myanmar"", ""neutral"", ""non"", ""obligatory"", ""outlaws"", ""pakistan"", ""partial"", ""pca"", ""peculiarities"", ""penalty"", ""precisely"", ""preclude"", ""predictability"", ""predictable"", ""premise"", ""prescribed"", ""prescribes"", ""prevails"", ""prevalent"", ""principles"", ""prior"", ""prohibits"", ""publicised"", ""quantifiable"", ""regulate"", ""requisite"", ""rescinded"", ""resolution"", ""ruling"", ""rulings"", ""settlement"", ""simplifying"", ""socio"", ""specifies"", ""standardising"", ""stark"", ""states"", ""stipulates"", ""strictly"", ""sub"", ""submission"", ""surveillance"", ""tariff"", ""tariffs"", ""taxes"", ""technological"", ""thwarting"", ""trader"", ""traders"", ""transposed"", ""treaty"", ""undocumented"", ""uniformity"", ""unpredictable"", ""valuation"", ""vii"", ""violation"", ""wto"", ""®""]"
expert_02.txt,expert,1044,188,474,34,131,217,65,0.1979,0.6341,0,0.0,67,1.0308,0.6735,0.4769,0.9118,"[""144(1"", ""144(2"", ""71(1)(e"", ""74(3"", ""adjustments"", ""agricultural"", ""agriculture"", ""analogous"", ""analysed"", ""articles"", ""availability"", ""calculations"", ""catalysers"", ""cif"", ""circular"", ""circulation"", ""clarity"", ""commodities"", ""commodity"", ""comparable"", ""compendium"", ""computed"", ""concrete"", ""confidentiality"", ""consequently"", ""consignment"", ""contractual"", ""deducting"", ""deductive"", ""discretion"", ""e.g."", ""eu"", ""eur"", ""evident"", ""extract"", ""extracted"", ""facilitating"", ""fertiliser"", ""fertilisers"", ""flexibility"", ""fulfilled"", ""gatt"", ""handling"", ""hazardous"", ""i.e."", ""ia"", ""identical/"", ""implementing"", ""impurities"", ""interpretative"", ""loading"", ""materials/"", ""methodology"", ""ms"", ""narrowly"", ""neutralised"", ""neutralized"", ""objectively"", ""operating"", ""processing"", ""recalculate"", ""recipients"", ""recoverable"", ""regardless"", ""reliability"", ""renewed"", ""resale"", ""reseller"", ""reused"", ""sake"", ""sawdust"", ""separation"", ""significance"", ""specificity"", ""starting"", ""storage"", ""subsidiary"", ""supplemented"", ""symbolic"", ""taxes"", ""territory"", ""tonne"", ""ucc"", ""unrelated"", ""valuation"", ""verification"", ""vii"", ""wto"", ""x"", ""x."", ""y"", ""y."", ""z"", ""z.""]"
expert_03.txt,expert,1428,315,555,52,133,373,139,0.1529,0.6092,0,0.0,44,0.3165,0.3452,0.3022,0.8077,"[""3(a"", ""3ʳᵈ"", ""48(1"", ""academy"", ""accountant"", ""accountants"", ""actively"", ""adjusted"", ""adjustment"", ""aduaneiras"", ""adó-"", ""affiliated"", ""aha"", ""allocate"", ""allocation"", ""america"", ""andean"", ""appeals"", ""argumentation"", ""asia"", ""authors"", ""backing"", ""barbosa"", ""benchmarks"", ""biding"", ""bielskiene"", ""boi"", ""bois"", ""branches"", ""brazil"", ""brazilian"", ""brexit"", ""btis"", ""bukowski"", ""bulgaria"", ""bulgarian"", ""bvi"", ""bvis"", ""canada"", ""canadian"", ""ccrm"", ""chartered"", ""china"", ""cif"", ""circuit"", ""cjeu"", ""co"", ""colombia"", ""colombian"", ""competence"", ""complexity"", ""conditional"", ""cons"", ""consult"", ""contrary"", ""convention"", ""cookware"", ""corporation"", ""correctness"", ""correlate"", ""correspondence"", ""counsel"", ""counterparties"", ""crowell"", ""cursos"", ""customsclear"", ""d'avocats"", ""david"", ""davidson"", ""ddp"", ""declaration"", ""delivered"", ""demanding"", ""dereviankine"", ""developed"", ""deviate"", ""distributors"", ""doctrine"", ""dr."", ""dunántúli"", ""dutiable"", ""e"", ""e.g."", ""eduardo"", ""emphasised"", ""enrika"", ""entities"", ""entity"", ""eu"", ""eur"", ""europe"", ""european"", ""evguenia"", ""exceptional"", ""exclusive"", ""explicitly"", ""factual"", ""favour"", ""firstly"", ""founder"", ""france"", ""french"", ""functioning"", ""főigazgatósága"", ""gatt"", ""georgi"", ""goranov"", ""harley"", ""hfs"", ""horgan"", ""hungary"", ""i.e."", ""icc"", ""ilona"", ""ils"", ""implementation"", ""incidental"", ""incisive"", ""incoterms"", ""initiate"", ""insights"", ""interpretations"", ""ireland"", ""ironic"", ""irrelevant"", ""israel"", ""israeli"", ""issues"", ""jointly"", ""jonas"", ""juan"", ""judgement"", ""jurisdictions"", ""kft"", ""korean"", ""l."", ""legislator"", ""legitimate"", ""leite"", ""lithuania"", ""lithuanian"", ""ltd"", ""manufacturer"", ""manufacturers"", ""maritime"", ""mayer"", ""meyer"", ""minimise"", ""minimising"", ""mishchenko"", ""mitchell"", ""monika"", ""moring"", ""naujoke"", ""nemzeti"", ""neville"", ""non"", ""nyugat"", ""odessa"", ""oecd"", ""omer"", ""paid"", ""paradigmes"", ""particularities"", ""pendulum"", ""peter"", ""precedence"", ""preliminary"", ""prices"", ""problematic"", ""problems"", ""provisional"", ""purchaser"", ""pwc"", ""pénzügyőri"", ""questionable"", ""reconsider"", ""regionális"", ""remanded"", ""representation"", ""retroactive"", ""revoked"", ""royalties"", ""ruling"", ""rulings"", ""sakalauskas"", ""secondly"", ""shipment"", ""simplified"", ""solely"", ""ss"", ""standards"", ""states"", ""statistical"", ""statute"", ""subsidiaries"", ""symposiums"", ""tariffs"", ""taxation"", ""taxes"", ""territory"", ""thirdly"", ""treaty"", ""treinamentos"", ""u.s."", ""uk"", ""ukraine"", ""unaffected"", ""underestimation"", ""underlying"", ""undervaluation"", ""undervaluations"", ""unitax"", ""unlimited"", ""unreasonably"", ""upcoming"", ""upheld"", ""usa"", ""v"", ""v."", ""vacated"", ""valuation"", ""vs"", ""vs."", ""vám-"", ""vámhivatal"", ""wagner"", ""webinar"", ""weronika"", ""zandra"", ""és"", ""с-291/15""]"
expert_04.txt,expert,361,80,155,3,7,116,32,0.0298,0.651,0,0.0,1,0.0312,0.1667,0.0312,0.3333,"[""agreements"", ""and/"", ""annex"", ""anticipated"", ""avail"", ""bakers"", ""brexit"", ""british"", ""canada"", ""canadian"", ""capability"", ""ceta"", ""circulation"", ""comparatively"", ""continental"", ""counterpart"", ""counterparts"", ""cumulation"", ""diagonal"", ""dispatched"", ""efficiencies"", ""efficiently"", ""eroded"", ""eu"", ""eu/"", ""europe"", ""exposure"", ""facilitated"", ""frictionless"", ""heading"", ""hitherto"", ""hs"", ""independence"", ""inefficient"", ""infrastructure"", ""invalidated"", ""ireland"", ""irish"", ""manufacture"", ""neighbouring"", ""non"", ""orig"", ""originating"", ""preferential"", ""processing"", ""protein"", ""recalibration"", ""resolution"", ""roo"", ""tariff"", ""tca"", ""tolerance"", ""traders"", ""uk"", ""uncompetitive"", ""unwelcome"", ""vulnerabilities"", ""wholly"", ""wrangling""]"
expert_05.txt,expert,1282,180,588,94,145,275,58,0.1888,0.5991,0,0.0,103,1.7759,0.7708,1.3966,0.8617,"[""a-261"", ""a-352"", ""a-377"", ""accession"", ""accuracy"", ""acknowledgment"", ""admissibility"", ""admissible"", ""ambiguously"", ""analogous"", ""analysing"", ""anti"", ""articles"", ""assigned"", ""authenticity"", ""beemsterboer"", ""broadly"", ""c-12/92"", ""c-21/13"", ""c-293/04"", ""c-416/15"", ""c-438/11"", ""categorical"", ""certificate"", ""certificates"", ""certify"", ""china"", ""chinese"", ""cjeu"", ""co."", ""coldstore"", ""complicates"", ""concessions"", ""consolidated"", ""contradictory"", ""controversies"", ""debatable"", ""declaration"", ""declarations"", ""derivative"", ""differ"", ""distinctive"", ""distinguishes"", ""diversity"", ""dumping"", ""e."", ""ea-304"", ""ea1671"", ""edmond"", ""essentially"", ""eu"", ""european"", ""evers"", ""explicitly"", ""expressly"", ""fasteners"", ""favour"", ""favourable"", ""firstly"", ""formulated"", ""g."", ""huygen"", ""i."", ""implementation"", ""implementing"", ""imposition"", ""inaccuracy"", ""inaccurate"", ""invoice"", ""invoices"", ""lading"", ""lagura"", ""lawful"", ""liable"", ""lithuania"", ""lithuanian"", ""non"", ""olaf"", ""originating"", ""p."", ""para"", ""peculiarities"", ""precedents"", ""preferential"", ""problematic"", ""proving"", ""reasoning"", ""republic"", ""restrictive"", ""românia"", ""sanctions"", ""secondly"", ""selena"", ""services"", ""simon"", ""sole"", ""solely"", ""states"", ""subsequently"", ""substantial"", ""substantially"", ""substantiate"", ""substantiates"", ""supreme"", ""taipei"", ""taiwan"", ""tariff"", ""tariffs"", ""taxation"", ""taxpayer"", ""territory"", ""thailand"", ""trader"", ""traders"", ""traditionally"", ""transformation"", ""ucc"", ""underwent"", ""verified"", ""vermögensverwaltung"", ""vs."", ""wholly"", ""withheld"", ""wrongly""]"
