decision	review_flag	en_word	fold	anchor_root	all_roots	root_detail	eo_word	proposed_tier	gloss_zipf	gloss	note
split	two distinct concepts merged — author separately	chancellor	standalone	kancelier	kancelier,rektor	kancelier=chancellor || rektor=chancellor, rector (scho	kanceliero	3	4.13	chancellor	2 roots collapsed: kancelier, rektor
split	two distinct concepts merged — author separately	acute	standalone	akut	akut,sagac	akut=acute, penetrating || sagac=acute, astute, shrewd, i	akuto	3	4.0	acute, penetrating	2 roots collapsed: akut, sagac
split	two distinct concepts merged — author separately	accessory	standalone	aneks	aneks,kunkulp	aneks=accessory || kunkulp=accessory	anekso	3	3.63	accessory	2 roots collapsed: aneks, kunkulp
split	two distinct concepts merged — author separately	erect	standalone	erekt	erekt,vertikal	erekt=to erect || vertikal=erect, vertical, upright	erekti	3	3.52	to erect	2 roots collapsed: erekt, vertikal
approve	R9-park (Effort B)	lieutenant	standalone	leŭtenant	leŭtenant		leŭtenanto	2	4.44	lieutenant	
approve	R9-park (Effort B)	colonel	standalone	kolonel	kolonel		kolonelo	3	4.41	colonel	
approve	R9-park (Effort B)	agriculture	standalone	terkultiv	terkultiv		terkultivo	3	4.37	agriculture	
hold	R9-park (Effort B)	agricultural	derived_adj	agronomi	agronomi,agrikultur,agrokultur	agronomi=agricultural || agrikultur=agricultural || agrokultur=agricultural	agronomia		4.34	agricultural	3 roots collapsed: agronomi, agrikultur, agrokultur; derived adjective — confirm noun anchor / eo_word
approve	R9-park (Effort B)	genetic	derived_adj	genetik	genetik		genetika	3	4.34	genetic	derived adjective — confirm noun anchor / eo_word
approve	R9-park (Effort B)	naval	derived_adj	mararme	mararme		mararmea	3	4.24	naval	derived adjective — confirm noun anchor / eo_word
approve	R9-park (Effort B)	imperial	derived_adj	imperi	imperi		imperia	2	4.21	imperial	derived adjective — confirm noun anchor / eo_word
approve	R9-park (Effort B)	parliamentary	derived_adj	parlament	parlament		parlamenta	2	4.18	parliamentary	derived adjective — confirm noun anchor / eo_word
approve	R9-park (Effort B)	magnetic	derived_adj	magenet	magenet		mageneta	2	4.17	magnetic	derived adjective — confirm noun anchor / eo_word
approve	R9-park (Effort B)	diplomatic	derived_adj	diplomat	diplomat,diplomati	diplomat=diplomatic || diplomati=diplomatic	diplomata	2	4.11	diplomatic	2 roots collapsed: diplomat, diplomati; derived adjective — confirm noun anchor / eo_word
approve	R9-park (Effort B)	admiral	derived_adj	admiral	admiral		admirala	2	4.0	of an admiral, of an admiralty	derived adjective — confirm noun anchor / eo_word
approve	R9-park (Effort B)	atomic	derived_adj	atom	atom		atoma	2	3.98	atomic	derived adjective — confirm noun anchor / eo_word
approve	R9-park (Effort B)	artillery	standalone	artileri	artileri		artilerio	2	3.96	artillery, ordnance	
approve	R9-park (Effort B)	infantry	standalone	infanteri	infanteri		infanterio	2	3.96	infantry	
approve	R9-park (Effort B)	regiment	standalone	regiment	regiment		regimento	3	3.93	regiment	
approve	R9-park (Effort B)	cavalry	standalone	kavaleri	kavaleri,rajdistar	kavaleri=cavalry || rajdistar=cavalry	kavalerio	2	3.8	cavalry	2 roots collapsed: kavaleri, rajdistar
approve	R9-park (Effort B)	anatomical	derived_adj	anatomi	anatomi		anatomia	2	3.21	anatomical	derived adjective — confirm noun anchor / eo_word
approve	R9-park (Effort B)	damn	standalone	damn	damn		damno	3	5.09	damn	
approve	R9-park (Effort B)	gay	standalone	homoseksual	homoseksual		homoseksualo	2	4.9	gay, homosexual, queer	
approve	R9-park (Effort B)	bastard	standalone	bastard	bastard		bastardo	3	3.89	bastard	
approve	R9-park (Effort B)	homosexual	derived_adj	samseksam	samseksam,samseksemul	samseksam=homosexual, gay, queer || samseksemul=homosexual	samseksama	3	3.72	homosexual, gay, queer	2 roots collapsed: samseksam, samseksemul; derived adjective — confirm noun anchor / eo_word
approve	R9-park (Effort B)	fart	standalone	furz	furz		furzi	2	3.59	to fart	
approve	R9-park (Effort B)	prostitute	standalone	prostitu	prostitu,amovendist	prostitu=to prostitute || amovendist=prostitute, whore, gigol	prostitui	3	3.58	to prostitute	2 roots collapsed: prostitu, amovendist
approve	R9-park (Effort B)	archaic	derived_adj	arkaik	arkaik		arkaika	3	3.36	archaic, obsolete	derived adjective — confirm noun anchor / eo_word
approve	merge-borderline (glance)	anthem	standalone	himn	himn,antem	himn=anthem, hymn, canticle || antem=anthem	himno	2	3.91	anthem, hymn, canticle	2 roots collapsed: himn, antem
approve	merge-borderline (glance)	fertile	standalone	fekund	fekund,fruktodon	fekund=fertile || fruktodon=fertile, fruitful	fekundo	2	3.62	fertile	2 roots collapsed: fekund, fruktodon
approve	merge-borderline (glance)	charcoal	derived_adj	braĝ	braĝ,lignokarb	braĝ=charcoal || lignokarb=charcoal	braĝa	3	3.58	charcoal	2 roots collapsed: braĝ, lignokarb; derived adjective — confirm noun anchor / eo_word
approve	merge-borderline (glance)	sauna	standalone	saŭn	saŭn,ŝvitban	saŭn=sauna || ŝvitban=sauna	saŭno	3	3.25	sauna	2 roots collapsed: saŭn, ŝvitban
approve	merge-borderline (glance)	abrasive	derived_adj	abrad	abrad,frotpurig	abrad=abrasive || frotpurig=abrasive	abrada	3	3.22	abrasive	2 roots collapsed: abrad, frotpurig; derived adjective — confirm noun anchor / eo_word
approve	merge-borderline (glance)	burlesque	standalone	burlesk	burlesk,travesti	burlesk=burlesque || travesti=to burlesque, parody	burlesko	3	3.1	burlesque	2 roots collapsed: burlesk, travesti
approve	standalone adj (your rule)	democratic	derived_adj	demokrati	demokrati,demokrat	demokrati=democratic || demokrat=democratic	demokratia	2	4.73	democratic	2 roots collapsed: demokrati, demokrat; derived adjective — confirm noun anchor / eo_word
approve		republican	standalone	respublik	respublik		respubliko	2	4.7	republican	
approve		carbon	standalone	karbon	karbon		karbono	2	4.55	carbon	
approve		retail	standalone	detalkomerc	detalkomerc		detalkomerco	2	4.55	retail	
approve	standalone adj (your rule)	presidential	derived_adj	prezident	prezident		prezidenta	2	4.52	presidential	derived adjective — confirm noun anchor / eo_word
approve		aged	standalone	profundaĝ	profundaĝ		profundaĝa	2	4.5	aged	
approve		ford	standalone	travad	travad		travadi	2	4.5	to ford	
approve		circuit	standalone	cirkvit	cirkvit		cirkvito	3	4.47	circuit	
approve		suck	standalone	suĉ	suĉ,mamsuĉ	suĉ=to suck || mamsuĉ=to suck, suckle	suĉi	3	4.42	to suck	2 roots collapsed: suĉ, mamsuĉ
approve		rugby	standalone	rugbe	rugbe		rugbeo	3	4.4	rugby	
approve		poll	standalone	opinisond	opinisond		opinisondi	3	4.35	to poll	
approve		virgin	standalone	virg	virg		virgo	3	4.35	virgin, virginal	
approve		fleet	standalone	flot	flot		floto	3	4.33	fleet	
approve	standalone adj (your rule)	mechanical	derived_adj	meĥanik	meĥanik		meĥanika	3	4.33	mechanical	derived adjective — confirm noun anchor / eo_word
approve		faculty	standalone	fakult	fakult		fakulto	3	4.32	faculty	
approve		footage	standalone	filmitaĵ	filmitaĵ		filmitaĵo	3	4.31	footage	
approve	standalone adj (your rule)	collective	derived_adj	kolektiv	kolektiv		kolektiva	3	4.3	collective, joint	derived adjective — confirm noun anchor / eo_word
approve		petition	standalone	petskrib	petskrib		petskribo	3	4.3	petition	
approve	standalone adj (your rule)	racial	derived_adj	ras	ras		rasa	3	4.3	racial	derived adjective — confirm noun anchor / eo_word
approve		disabled	standalone	invalid	invalid		invalida	3	4.29	disabled	
approve		dual	standalone	dual	dual		dualo	3	4.28	dual	
