decision	flag	fold	en_word	anchor_root	all_roots	eo_word	eo_pos	proposed_tier	gloss_zipf	inv_tier	prod	gloss	note
	common	derived_adj	democratic	demokrati	demokrati,demokrat	demokratia	ADJ	2	4.73	core	4	democratic	2 roots collapsed: demokrati, demokrat; derived adjective — confirm noun anchor / eo_word
	common	standalone	republican	respublik	respublik	respubliko	NOUN	2	4.7	core	3	republican	
	common	standalone	carbon	karbon	karbon	karbono	NOUN	2	4.55	extended	2	carbon	
	common	standalone	retail	detalkomerc	detalkomerc	detalkomerco	NOUN	2	4.55	extended	2	retail	
	common	derived_adj	presidential	prezident	prezident	prezidenta	ADJ	2	4.52	extended	2	presidential	derived adjective — confirm noun anchor / eo_word
	common	standalone	aged	profundaĝ	profundaĝ	profundaĝa	ADJ	2	4.5	extended	2	aged	
	common	standalone	ford	travad	travad	travadi	VERB	2	4.5	core	3	to ford	
	common	standalone	circuit	cirkvit	cirkvit	cirkvito	NOUN	3	4.47	extended	2	circuit	
	common	standalone	suck	suĉ	suĉ,mamsuĉ	suĉi	VERB	3	4.42	core	4	to suck	2 roots collapsed: suĉ, mamsuĉ
	common	standalone	rugby	rugbe	rugbe	rugbeo	NOUN	3	4.4	extended	2	rugby	
	common	standalone	poll	opinisond	opinisond	opinisondi	VERB	3	4.35	extended	2	to poll	
	common	standalone	virgin	virg	virg	virgo	NOUN	3	4.35	core	4	virgin, virginal	
	common	standalone	fleet	flot	flot	floto	NOUN	3	4.33	core	3	fleet	
	common	derived_adj	mechanical	meĥanik	meĥanik	meĥanika	ADJ	3	4.33	core	3	mechanical	derived adjective — confirm noun anchor / eo_word
	common	standalone	faculty	fakult	fakult	fakulto	NOUN	3	4.32	extended	2	faculty	
	common	standalone	footage	filmitaĵ	filmitaĵ	filmitaĵo	NOUN	3	4.31	extended	2	footage	
	common	derived_adj	collective	kolektiv	kolektiv	kolektiva	ADJ	3	4.3	core	5	collective, joint	derived adjective — confirm noun anchor / eo_word
	common	standalone	petition	petskrib	petskrib	petskribo	NOUN	3	4.3	extended	2	petition	
	common	derived_adj	racial	ras	ras	rasa	ADJ	3	4.3	core	3	racial	derived adjective — confirm noun anchor / eo_word
	common	standalone	disabled	invalid	invalid	invalida	ADJ	3	4.29	extended	2	disabled	
	common	standalone	dual	dual	dual	dualo	NOUN	3	4.28	core	3	dual	
	common	standalone	filter	filtr	filtr	filtri	VERB	3	4.28	core	4	to filter	
	common	standalone	auction	aŭkci	aŭkci	aŭkcio	NOUN	3	4.27	core	3	at auction	
	common	standalone	segment	segment	segment	segmenti	VERB	3	4.26	extended	2	to segment	
	common	standalone	alpha	alf	alf	alfo	NOUN	3	4.25	extended	2	alpha	
	common	standalone	khan	ĥan	ĥan	ĥano	NOUN	3	4.25	core	4	khan	
	common	standalone	copyright	kopirajt	kopirajt,aŭtorrajt	kopirajto	NOUN	3	4.24	extended	2	copyright	2 roots collapsed: kopirajt, aŭtorrajt
	common	standalone	noble	nobel	nobel	nobelo	NOUN	3	4.24	core	6	noble	
	common	derived_adj	toxic	toks	toks	toksa	ADJ	3	4.24	core	3	toxic	derived adjective — confirm noun anchor / eo_word
	common	standalone	upgrade	promoci	promoci	promocio	NOUN	3	4.24	core	5	upgrade	
	common	standalone	charter	ĉart	ĉart	ĉarti	VERB	3	4.23	core	4	to charter	
	common	derived_adj	civilian	nemilit	nemilit	nemilita	ADJ	3	4.23	extended	2	civilian	derived adjective — confirm noun anchor / eo_word
	common	derived_adj	graphic	grafik	grafik	grafika	ADJ	3	4.23	core	5	graphic	derived adjective — confirm noun anchor / eo_word
	common	standalone	amateur	amator	amator	amatoro	NOUN	3	4.22	core	4	amateur	
	common	standalone	pension	pensi	pensi	pensii	VERB	3	4.22	core	5	to pension	
	common	standalone	bronze	bronz	bronz	bronzo	NOUN	3	4.2	core	3	bronze	
	common	derived_adj	chronic	kronik	kronik	kronika	ADJ	3	4.2	extended	2	chronic, lingering	derived adjective — confirm noun anchor / eo_word
	common	standalone	distinguished	eminent	eminent	eminenta	ADJ	3	4.2	core	5	distinguished, eminent, prominent	
	common	standalone	cargo	ŝipŝarĝ	ŝipŝarĝ	ŝipŝarĝo	NOUN	3	4.19	extended	2	ship’s cargo	
	common	standalone	census	cens	cens	censi	VERB	3	4.19	core	3	to census, inventory	
	common	standalone	ram	bok	bok	boko	NOUN	3	4.19	core	3	ram, vaulting-horse	
	common	standalone	tobacco	tabak	tabak	tabako	NOUN	3	4.19	core	5	tobacco	
	common	standalone	animation	animaci	animaci	animacio	NOUN	3	4.18	extended	2	animation	
	common	standalone	grid	krad	krad	krado	NOUN	3	4.18	core	3	grid	
	common	standalone	patent	patent	patent	patento	NOUN	3	4.18	core	3	patent	
	common	derived_adj	anonymous	anonim	anonim	anonima	ADJ	3	4.17	core	3	anonymous, nameless	derived adjective — confirm noun anchor / eo_word
	common	standalone	propaganda	propagand	propagand	propagando	NOUN	3	4.17	core	5	propaganda	
	common	standalone	icon	ikon	ikon	ikono	NOUN	3	4.16	core	3	icon	
	common	standalone	sheriff	ŝerif	ŝerif	ŝerifo	NOUN	3	4.16	extended	2	sheriff	
	common	standalone	podcast	podkast	podkast	podkasto	NOUN	3	4.15	extended	2	podcast	
	common	standalone	corrupt	korupt	korupt	korupto	NOUN	3	4.14	core	5	corrupt	
	common	standalone	tattoo	tatu	tatu	tatui	VERB	3	4.14	extended	2	to tattoo	
	common	standalone	breach	breĉ	breĉ	breĉi	VERB	3	4.13	core	4	to breach	
	common	standalone	chancellor	kancelier	kancelier,rektor	kanceliero	NOUN	3	4.13	core	3	chancellor	2 roots collapsed: kancelier, rektor
	common	standalone	feminist	feminist	feminist	feministo	NOUN	3	4.12	extended	2	feminist	
	common	derived_adj	fatal	kapromp	kapromp	kaprompa	ADJ	3	4.1	extended	2	fatal	derived adjective — confirm noun anchor / eo_word
	common	standalone	fig	fig	fig	figo	NOUN	3	4.1	extended	2	fig	
	common	standalone	dump	dumping	dumping	dumpingi	VERB	3	4.08	extended	2	to dump	
	common	derived_adj	fabulous	fabl	fabl	fabla	ADJ	3	4.08	extended	2	fabulous	derived adjective — confirm noun anchor / eo_word
	common	derived_adj	provincial	provinc	provinc,provincial	provinca	ADJ	3	4.08	core	3	provincial	2 roots collapsed: provinc, provincial; derived adjective — confirm noun anchor / eo_word
	common	standalone	subtle	subtil	subtil	subtilo	NOUN	3	4.08	core	3	subtle	
	common	derived_adj	tragic	tragedi	tragedi,tragik	tragedia	ADJ	3	4.08	core	3	tragic	2 roots collapsed: tragedi, tragik; derived adjective — confirm noun anchor / eo_word
	common	standalone	allied	alianc	alianc	alianca	ADJ	3	4.07	core	5	allied	
	common	standalone	matrix	matric	matric	matrico	NOUN	3	4.07	extended	2	matrix	
	common	derived_adj	optical	optik	optik	optika	ADJ	3	4.07	extended	2	optical	derived adjective — confirm noun anchor / eo_word
	common	standalone	quantum	kvantum	kvantum	kvantumo	NOUN	3	4.07	extended	2	quantum	
	common	standalone	compact	kompakt	kompakt	kompakto	NOUN	3	4.06	core	4	compact, dense	
	common	standalone	fiber	fibr	fibr	fibro	NOUN	3	4.06	core	3	fiber	
	common	standalone	graph	grafe	grafe	grafeo	NOUN	3	4.05	core	3	graph	
	common	standalone	spam	spam	spam	spami	VERB	3	4.05	core	5	to spam	
	common	derived_adj	static	statik	statik	statika	ADJ	3	4.05	extended	2	static	derived adjective — confirm noun anchor / eo_word
	common	standalone	withdraw	eliĝ	eliĝ	eliĝi	VERB	3	4.05	extended	2	to withdraw	
	common	derived_adj	authentic	aŭtent	aŭtent,aŭtentik	aŭtenta	ADJ	3	4.04	core	4	authentic	2 roots collapsed: aŭtent, aŭtentik; derived adjective — confirm noun anchor / eo_word
	common	standalone	cum	ĉur	ĉur	ĉuri	VERB	3	4.04	extended	2	to cum, ejaculate	
	common	standalone	chapel	kapel	kapel	kapelo	NOUN	3	4.03	extended	2	chapel	
	common	derived_adj	tribal	trib	trib	triba	ADJ	3	4.03	core	4	tribal	derived adjective — confirm noun anchor / eo_word
	common	derived_adj	aesthetic	estetik	estetik	estetika	ADJ	3	4.02	extended	2	aesthetic	derived adjective — confirm noun anchor / eo_word
	common	standalone	ego	ego	ego	egoo	NOUN	3	4.02	core	3	ego	
	common	standalone	ferry	pram	pram	prami	VERB	3	4.02	core	3	to ferry	
	common	standalone	mercury	hidrarg	hidrarg	hidrargo	NOUN	3	4.02	extended	2	mercury, quicksilver	
	common	standalone	orchestra	orkestr	orkestr	orkestro	NOUN	3	4.01	core	5	orchestra	
	common	standalone	acute	akut	akut,sagac	akuto	NOUN	3	4.0	core	3	acute, penetrating	2 roots collapsed: akut, sagac
	common	derived_adj	civic	civit	civit	civita	ADJ	3	4.0	extended	2	civic	derived adjective — confirm noun anchor / eo_word
	common	standalone	escort	eskort	eskort	eskorti	VERB	3	4.0	extended	2	to escort	
	common	standalone	fossil	fosili	fosili	fosilio	NOUN	3	3.99	extended	2	fossil, fossilized	
	common	standalone	freight	karg	karg	kargi	VERB	3	3.99	core	3	to freight	
	common	standalone	negotiate	intertrakt	intertrakt	intertrakti	VERB	3	3.99	core	4	to negotiate	
	common	standalone	vector	vektor	vektor	vektoro	NOUN	3	3.99	core	3	vector, vectorial	
	common	standalone	absent	forestant	forestant,forest	forestanto	NOUN	3	3.98	core	4	absent	2 roots collapsed: forestant, forest
	common	derived_adj	archive	arkiv	arkiv	arkiva	ADJ	3	3.98	core	4	archive, record(s), file(s)	derived adjective — confirm noun anchor / eo_word
	common	derived_adj	tactical	taktik	taktik	taktika	ADJ	3	3.97	extended	2	tactical	derived adjective — confirm noun anchor / eo_word
	common	standalone	wholesale	pogrand	pogrand	pogrando	NOUN	3	3.97	extended	2	wholesale	
	common	derived_adj	architectural	arĥitektur	arĥitektur	arĥitektura	ADJ	3	3.96	extended	2	architectural	derived adjective — confirm noun anchor / eo_word
	common	standalone	curry	kare	kare	kareo	NOUN	3	3.96	extended	2	curry	
	common	standalone	preview	antaŭrigard	antaŭrigard,antaŭprezent	antaŭrigardo	NOUN	3	3.96	extended	2	preview	2 roots collapsed: antaŭrigard, antaŭprezent
	common	standalone	tab	tab	tab	tabo	NOUN	3	3.96	core	6	tab, tab-delimited	
	common	standalone	viable	vivipov	vivipov	vivipovo	NOUN	3	3.96	extended	2	viable	
	common	standalone	absurd	absurd	absurd	absurdo	NOUN	3	3.95	core	3	absurd	
	common	standalone	bargain	marĉand	marĉand	marĉandi	VERB	3	3.95	core	3	to bargain, haggle	
	common	standalone	brake	brems	brems	bremsi	VERB	3	3.95	core	5	to brake	
	common	standalone	execute	ekzekuci	ekzekuci	ekzekucii	VERB	3	3.95	extended	2	to execute	
	common	standalone	secular	sekular	sekular	sekularo	NOUN	3	3.95	core	6	secular	
	common	standalone	sovereign	suveren	suveren	suvereno	NOUN	3	3.95	extended	2	sovereign	
