token	bucket	subtype	universality	total_count	c_tinystories	c_control	c_novice	c_expert	zipf	is_propn	is_name_cased	lemma	lemma_resolves	store_match
centre	named_entity	candidate	4	8	4	1	2	1	4.95	1	1		0	0
sized	named_entity	candidate	4	6	1	1	1	3	4.27	0	1		0	0
eu	named_entity	candidate	2	271	0	0	74	197	4.62	1	1		0	0
customs	named_entity	candidate	2	177	0	0	5	172	4.19	1	1	custom	1	0
fluffy	named_entity	candidate	2	175	174	1	0	0	3.59	1	1		0	0
peter	named_entity	candidate	2	101	98	0	0	3	4.88	1	1		0	0
tariff	named_entity	candidate	2	80	0	0	9	71	3.49	1	1		0	0
classification	domain_term		2	72	0	0	1	71	4.18	0	0		0	0
non	named_entity	candidate	2	64	0	0	11	53	5.29	1	1		0	0
importer	named_entity	candidate	2	54	0	0	6	48	3.08	1	1		0	0
maria	named_entity	candidate	2	51	49	0	0	2	4.34	1	1		0	0
lithuania	named_entity	candidate	2	48	0	0	1	47	3.5	1	1		0	0
compliance	named_entity	candidate	2	41	0	0	1	40	4.17	1	1		0	0
taxes	named_entity	candidate	2	39	0	0	21	18	4.65	1	1	taxis	1	0
european	named_entity	candidate	2	38	0	0	4	34	5.08	1	1		0	0
preferential	named_entity	candidate	2	36	0	0	1	35	3.21	0	1		0	0
states	named_entity	candidate	2	36	0	0	3	33	5.52	1	1	state	1	0
clearance	named_entity	candidate	2	35	0	0	1	34	3.96	1	1		0	0
territory	domain_term		2	35	0	0	1	34	4.6	0	0		0	0
declaration	named_entity	candidate	2	31	0	0	6	25	4.1	1	1		0	0
sharing	named_entity	candidate	2	27	25	0	0	2	4.66	1	1	share	1	0
tariffs	named_entity	candidate	2	26	0	0	18	8	3.63	1	1	tariff	0	0
canada	named_entity	candidate	2	22	0	0	8	14	4.97	1	1		0	0
x	junk	structural	2	22	9	0	0	13	5.2	1	1		0	0
logistics	named_entity	candidate	2	20	0	0	3	17	3.86	1	1	logistic	0	0
vat	named_entity	candidate	2	20	0	0	11	9	3.54	1	1		0	0
bulgaria	named_entity	candidate	2	19	0	0	1	18	3.9	1	1		0	0
hs	named_entity	candidate	2	19	0	0	1	18	3.69	1	1		0	0
vietnam	named_entity	candidate	2	18	0	0	3	15	4.31	1	1		0	0
excise	named_entity	candidate	2	17	0	0	13	4	3.26	1	1		0	0
smes	named_entity	candidate	2	16	0	0	1	15	3.07	1	1	sme	0	0
daniel	named_entity	candidate	2	15	14	1	0	0	4.62	1	1		0	0
african	named_entity	candidate	2	14	0	0	1	13	4.82	1	1		0	0
ireland	named_entity	candidate	2	14	0	0	2	12	4.66	1	1		0	0
shipping	named_entity	candidate	2	14	0	0	12	2	4.52	1	1	ship	1	0
€	junk	structural	2	14	0	0	13	1	0.0	0	0		0	0
certificates	domain_term		2	12	0	0	1	11	3.77	0	0	certificate	0	0
david	named_entity	candidate	2	11	10	0	0	1	5.13	1	1		0	0
jonas	named_entity	candidate	2	11	10	0	0	1	3.74	1	1		0	0
stratum	true_residual		2	11	0	10	0	1	2.67	0	0		0	0
canadian	named_entity	candidate	2	10	0	0	3	7	4.7	0	1		0	0
fertiliser	true_residual		2	10	0	1	0	9	2.86	0	0		0	0
jason	named_entity	candidate	2	10	5	0	0	5	4.46	1	1		0	0
switzerland	named_entity	candidate	2	10	0	0	6	4	4.23	1	1		0	0
anti	named_entity	candidate	2	9	0	0	2	7	5.01	1	1		0	0
dhl	named_entity	candidate	2	9	0	0	4	5	2.73	1	1		0	0
dumping	domain_term		2	9	0	0	3	6	3.67	0	0	dump	0	0
matt	named_entity	candidate	2	9	8	0	0	1	4.55	1	1		0	0
resale	domain_term		2	9	0	0	7	2	3.28	0	0		0	0
china	named_entity	candidate	2	8	0	0	3	5	5.1	1	1		0	0
shipments	domain_term		2	8	0	0	5	3	3.64	0	0	shipment	0	0
storage	domain_term		2	8	0	0	1	7	4.57	0	0		0	0
broker	domain_term		2	7	0	0	1	6	3.89	0	0		0	0
