token	total_count	universality	is_propn	is_name_cased	zipf
lily	4354	1	1	1	3.95
timmy	1829	1	1	1	3.31
ben	1631	1	1	1	4.69
tom	1600	1	1	1	4.83
tim	1201	1	1	1	4.51
jack	1086	1	1	1	4.82
sam	766	1	1	1	4.64
john	717	1	1	1	5.38
lucy	672	1	1	1	4.07
anna	648	1	1	1	4.37
mum	633	1	1	1	4.41
jane	500	1	1	1	4.42
sara	441	1	1	1	3.96
mia	435	1	1	1	3.87
joe	397	1	1	1	4.78
molly	385	1	1	1	3.87
sue	370	1	1	1	4.22
sarah	361	1	1	1	4.48
sally	314	1	1	1	3.97
tommy	289	1	1	1	4.16
eu	271	2	1	1	4.62
jill	257	1	1	1	3.81
grandma	249	1	1	1	4.11
mummy	236	1	1	1	3.57
amy	235	1	1	1	4.2
lila	225	1	1	1	3.05
billy	221	1	1	1	4.33
jimmy	220	1	1	1	4.44
mary	197	1	1	1	4.78
benny	193	1	1	1	3.6
customs	177	2	1	1	4.19
fluffy	175	2	1	1	3.59
emma	165	1	1	1	4.23
teddy	146	1	1	1	3.88
jenny	129	1	1	1	3.89
aeo	126	1	1	1	1.85
jake	124	1	1	1	4.17
emily	121	1	1	1	4.14
alice	119	1	1	1	4.26
pete	109	1	1	1	4.12
peter	101	2	1	1	4.88
jim	97	1	1	1	4.62
ucc	97	1	1	1	2.78
sammy	94	1	1	1	3.6
bobby	85	1	1	1	4.22
susie	85	1	1	1	3.24
johnny	83	1	1	1	4.35
tweety	83	1	1	1	2.45
jen	82	1	1	1	3.58
tariff	80	2	1	1	3.49
andy	79	1	1	1	4.43
valuation	76	1	1	1	3.75
alex	64	1	1	1	4.62
non	64	2	1	1	5.29
polly	64	1	1	1	3.4
lisa	63	1	1	1	4.29
james	62	1	1	1	5.11
excitedly	60	1	1	0	3.06
toby	57	1	1	1	3.67
sophie	56	1	1	1	3.91
importer	54	2	1	1	3.08
joey	54	1	1	1	3.92
fred	53	1	1	1	4.21
george	52	1	1	1	5.04
lola	52	1	1	1	3.45
maria	51	2	1	1	4.34
