set_name	member_en	proposed_tier	category	note
numbers_cardinal	one	1	closed	
numbers_cardinal	two	1	closed	
numbers_cardinal	three	1	closed	
numbers_cardinal	four	1	closed	
numbers_cardinal	five	1	closed	
numbers_cardinal	six	1	closed	
numbers_cardinal	seven	1	closed	
numbers_cardinal	eight	1	closed	
numbers_cardinal	nine	1	closed	
numbers_cardinal	ten	1	closed	
numbers_cardinal	eleven	1	closed	
numbers_cardinal	twelve	1	closed	
numbers_cardinal	thirteen	1	closed	
numbers_cardinal	fourteen	1	closed	
numbers_cardinal	fifteen	1	closed	
numbers_cardinal	sixteen	1	closed	
numbers_cardinal	seventeen	1	closed	
numbers_cardinal	eighteen	1	closed	
numbers_cardinal	nineteen	1	closed	
numbers_cardinal	twenty	1	closed	
numbers_tens	thirty	2	closed	
numbers_tens	forty	2	closed	
numbers_tens	fifty	2	closed	
numbers_tens	sixty	2	closed	
numbers_tens	seventy	2	closed	
numbers_tens	eighty	2	closed	
numbers_tens	ninety	2	closed	
numbers_tens	hundred	2	closed	
numbers_tens	thousand	2	closed	
numbers_tens	million	2	closed	
numbers_ordinal	first	2	closed	
numbers_ordinal	second	2	closed	
numbers_ordinal	third	2	closed	
numbers_ordinal	fourth	2	closed	
numbers_ordinal	fifth	2	closed	
numbers_ordinal	sixth	2	closed	
numbers_ordinal	seventh	2	closed	
numbers_ordinal	eighth	2	closed	
numbers_ordinal	ninth	2	closed	
numbers_ordinal	tenth	2	closed	
fractions	half	2	closed	
fractions	quarter	2	closed	
fractions	third	2	closed	
fractions	whole	2	closed	
fractions	double	2	closed	
days	monday	1	closed	weekday set
days	tuesday	1	closed	weekday set
days	wednesday	1	closed	weekday set
days	thursday	1	closed	weekday set
days	friday	1	closed	weekday set
days	saturday	1	closed	weekday set
days	sunday	1	closed	weekday set
months	january	2	closed	
months	february	2	closed	
months	march	2	closed	
months	april	2	closed	
months	may	2	closed	
months	june	2	closed	
months	july	2	closed	
months	august	2	closed	
months	september	2	closed	
months	october	2	closed	
months	november	2	closed	
months	december	2	closed	
seasons	spring	1	closed	
seasons	summer	1	closed	
seasons	autumn	1	closed	
seasons	fall	1	closed	
seasons	winter	1	closed	
times_of_day	morning	1	closed	
times_of_day	noon	1	closed	
times_of_day	afternoon	1	closed	
times_of_day	evening	1	closed	
times_of_day	night	1	closed	
times_of_day	midnight	1	closed	
times_of_day	dawn	1	closed	
times_of_day	dusk	1	closed	
time_units	second	1	closed	
time_units	minute	1	closed	
time_units	hour	1	closed	
time_units	day	1	closed	
time_units	week	1	closed	
time_units	month	1	closed	
time_units	year	1	closed	
relative_time	yesterday	1	closed	
relative_time	today	1	closed	
relative_time	tomorrow	1	closed	
relative_time	now	1	closed	
relative_time	soon	1	closed	
relative_time	later	1	closed	
relative_time	before	1	closed	
relative_time	after	1	closed	
directions_cardinal	north	2	closed	
directions_cardinal	south	2	closed	
directions_cardinal	east	2	closed	
directions_cardinal	west	2	closed	
directions_cardinal	northeast	2	closed	
directions_cardinal	northwest	2	closed	
directions_cardinal	southeast	2	closed	
directions_cardinal	southwest	2	closed	
position_relative	up	1	closed	
position_relative	down	1	closed	
position_relative	left	1	closed	
position_relative	right	1	closed	
position_relative	front	1	closed	
position_relative	back	1	closed	
position_relative	top	1	closed	
position_relative	bottom	1	closed	
position_relative	middle	1	closed	
position_relative	inside	1	closed	
position_relative	outside	1	closed	
position_relative	above	1	closed	
position_relative	below	1	closed	
position_relative	near	1	closed	
position_relative	far	1	closed	
colors	red	1	closed	
colors	orange	1	closed	
colors	yellow	1	closed	
colors	green	1	closed	
colors	blue	1	closed	
colors	purple	1	closed	
colors	pink	1	closed	
colors	brown	1	closed	
colors	black	1	closed	
colors	white	1	closed	
colors	grey	1	closed	
colors	light	1	closed	
colors	dark	1	closed	
shapes	circle	2	closed	
shapes	square	2	closed	
shapes	triangle	2	closed	
shapes	rectangle	2	closed	
shapes	oval	2	closed	
shapes	star	2	closed	
shapes	heart	2	closed	
shapes	diamond	2	closed	
shapes	sphere	2	closed	
shapes	cube	2	closed	
fingers	thumb	2	closed	the five finger names; 'finger' itself is T1
fingers	index	2	closed	the five finger names; 'finger' itself is T1
fingers	middle	2	closed	the five finger names; 'finger' itself is T1
fingers	ring	2	closed	the five finger names; 'finger' itself is T1
fingers	pinkie	2	closed	the five finger names; 'finger' itself is T1
family_immediate	mother	1	closed	
family_immediate	father	1	closed	
family_immediate	mom	1	closed	
family_immediate	dad	1	closed	
family_immediate	parent	1	closed	
family_immediate	brother	1	closed	
family_immediate	sister	1	closed	
family_immediate	son	1	closed	
family_immediate	daughter	1	closed	
